datetime,season,year,month,date,weekdays,vacation,worker_number,real_number,vacation_number,biztrip_number,overtime_number,telecom_number,temperature,rain,wind,humidity,discomfort_index,perceived_temperature,lunch_rice,lunch_soup,lunch_main,new_lunch,lunch_number
2016-03-23,봄,2016,3,23,수,N,2624,2346,42,236,0,0,10.5,0.0,1.3,52.3,52.762685000000005,12.130033441001665,콩나물밥*달래장,맑은국,치킨텐더*요거트D,N,963
2016-03-24,봄,2016,3,24,목,N,2624,2320,53,251,293,0,8.3,0.0,2.0,45.6,50.249152,9.25183134715763,밥,북어계란국,쇠고기장조림,N,876
2016-03-25,봄,2016,3,25,금,N,2624,2251,98,275,59,0,6.8,2.8,1.2,70.8,46.449856,8.415645948351134,밥,닭개장,자반고등어구이,N,861
2016-03-28,봄,2016,3,28,월,N,2624,2350,77,197,299,0,8.4,0.0,1.0,49.9,50.117984,10.301200000000003,밥,얼갈이된장국,닭갈비,N,1193
2016-03-29,봄,2016,3,29,화,N,2624,2327,52,245,259,0,10.7,0.0,1.8,60.0,52.7428,11.93976120016332,밥,옹심이만두국,주꾸미볶음,N,892
2016-03-30,봄,2016,3,30,수,N,2624,2346,48,230,0,0,13.8,0.0,1.3,53.6,57.136032,15.545529086628523,봄새싹비빔밥,쪽파국,오징어튀김,N,1033
2016-03-31,봄,2016,3,31,목,N,2624,2340,36,248,158,0,12.0,0.0,0.9,61.9,54.52202,14.076528749931644,밥,매운콩나물국,돈육굴소스볶음,N,781
2016-04-01,봄,2016,4,1,금,N,2643,2286,103,254,47,0,13.6,0.0,1.1,57.3,56.836972,15.502945223522447,밥,버섯들깨탕,갈치조림,N,661
2016-04-04,봄,2016,4,4,월,N,2643,2360,62,221,367,0,11.2,2.6,1.0,81.9,52.741372,13.151600000000002,밥,순두부찌개,쇠불고기,N,1237
2016-04-05,봄,2016,4,5,화,N,2643,2370,31,242,370,0,12.4,0.0,0.9,66.8,54.991968,14.48107753097533,밥,북어국,오징어볶음*소면,N,840
2016-04-06,봄,2016,4,6,수,N,2643,2357,37,249,0,0,11.8,26.1,1.0,64.9,54.158918,13.762400000000005,밥,올갱이아욱국,제육볶음,N,876
2016-04-07,봄,2016,4,7,목,N,2643,2338,47,258,339,0,12.2,28.7,0.7,82.5,54.34885,14.531969864414252,밥,어묵국,매운돼지갈비찜,N,853
2016-04-08,봄,2016,4,8,금,N,2643,2273,87,283,64,0,15.0,0.0,1.0,60.3,58.78165,17.020000000000003,밥,배추된장국,순살양념치킨,N,764
2016-04-11,봄,2016,4,11,월,N,2643,2358,82,203,392,0,10.8,0.0,1.7,66.0,52.66672,12.116358783408192,밥,시래기국,훈제오리구이,N,1225
2016-04-12,봄,2016,4,12,화,Y,2643,2342,76,225,239,0,11.5,3.1,1.2,58.6,53.90681,13.255409084802316,밥,부대찌개,쇠고기단호박조림,N,771
2016-04-14,봄,2016,4,14,목,N,2643,2285,106,252,326,0,17.1,0.0,1.3,57.6,61.665304000000006,18.961024732255385,밥,수제비국,돈육굴소스볶음,N,969
2016-04-15,봄,2016,4,15,금,N,2643,2231,131,281,82,0,12.9,0.0,1.2,59.3,55.842303,14.69704065736224,밥,냉이된장찌개,닭데리야끼조림,N,579
2016-04-18,봄,2016,4,18,월,N,2643,2337,81,225,330,0,14.4,0.0,1.7,43.0,57.94508,15.90763893699085,밥,배추된장국,돈육강정,N,1120
2016-04-19,봄,2016,4,19,화,N,2643,2360,44,239,387,0,13.5,0.0,1.8,46.5,56.800225,14.899638170970368,밥,육개장,꽁치한마리구이,N,980
2016-04-20,봄,2016,4,20,수,N,2643,2334,47,262,0,0,13.5,0.0,1.2,58.8,56.68522,15.314882759887922,콩나물밥,근대된장국,매콤떡갈비조림,N,849
2016-04-21,봄,2016,4,21,목,N,2643,2313,66,264,312,0,13.8,33.2,0.7,89.0,56.91018,16.125579599748125,밥,대구매운탕,쇠고기볶음,N,940
2016-04-22,봄,2016,4,22,금,N,2643,2218,150,275,86,0,17.0,0.0,1.3,70.9,61.86377,18.857524864206084,밥,북어국,등갈비김치찜,N,698
2016-04-25,봄,2016,4,25,월,N,2643,2346,96,201,281,0,15.4,0.0,1.1,51.6,59.262136,17.346312292910167,밥,콩나물국,돈간장불고기,N,1227
2016-04-26,봄,2016,4,26,화,N,2643,2365,51,227,304,0,16.3,1.2,1.2,61.4,60.630918,18.198145905007777,밥,쇠고기무국,주꾸미볶음,N,795
2016-04-27,봄,2016,4,27,수,N,2643,2338,71,234,0,0,11.4,42.9,1.9,84.5,52.98717,12.614347915124108,나물비빔밥,미소장국,궁중떡찜,N,1028
2016-04-28,봄,2016,4,28,목,N,2643,2318,56,269,196,0,14.1,5.0,0.9,77.1,57.458089,16.20040985041099,밥,미역국,양념파닭,N,811
2016-04-29,봄,2016,4,29,금,N,2643,2222,139,282,28,0,15.0,0.0,1.3,63.3,58.79815,16.78752750322011,밥,돈육김치찌개,미트볼조림,N,652
2016-05-02,봄,2016,5,2,월,N,2635,2341,80,214,302,0,17.8,0.0,1.5,74.8,63.202856,19.58136802313905,밥,시금치국,닭갈비,N,1242
2016-05-03,봄,2016,5,3,화,N,2635,2319,65,251,292,0,16.6,80.6,4.4,66.6,61.167244,17.367920921512425,곤드레밥,무채국,모둠장조림,N,964
2016-05-04,봄,2016,5,4,수,Y,2635,2241,150,244,0,0,17.8,0.0,4.2,32.4,61.794328,18.757336354998326,밥,쇠고기샤브국,오징어볶음,N,723
2016-05-09,봄,2016,5,9,월,N,2635,2301,101,233,344,0,17.6,0.0,0.8,54.9,62.271076,19.82082718021829,밥,매운어묵국,훈제오리구이,N,1216
2016-05-10,봄,2016,5,10,화,N,2635,2330,53,252,350,0,14.4,31.3,1.0,86.0,57.92616,16.409200000000002,밥,콩나물국,버섯불고기,N,1008
2016-05-11,봄,2016,5,11,수,N,2635,2309,60,266,0,0,15.8,0.1,1.1,72.3,60.068266,17.755949419440775,단호박영양밥,시래기된장국,돈육칠리강정,N,915
2016-05-12,봄,2016,5,12,목,N,2635,2290,71,274,315,0,17.6,0.0,1.5,63.4,62.536616,19.372452939363555,밥,오징어국,찜닭,N,753
2016-05-13,봄,2016,5,13,금,N,2635,2182,185,268,80,0,16.2,0.0,1.2,71.8,60.669884,18.09517222125349,밥,된장찌개,매운돼지갈비찜,N,761
2016-05-16,봄,2016,5,16,월,N,2635,2320,99,216,368,0,15.1,6.0,1.8,58.1,58.908069,16.590996440002964,밥,감자고추장찌개,돈육굴소스볶음,N,1180
2016-05-17,봄,2016,5,17,화,N,2635,2340,41,254,377,0,16.4,0.0,1.0,53.8,60.625568,18.4452,밥,들깨버섯탕,고등어김치말이,N,899
2016-05-18,봄,2016,5,18,수,N,2635,2307,71,257,0,0,19.3,0.0,1.0,56.8,64.663376,21.3974,산채비빔밥,미소장국,치킨핑거,N,856
2016-05-19,봄,2016,5,19,목,N,2635,2304,65,266,264,0,19.0,0.0,0.9,58.6,64.33286000000001,21.156132418196123,밥,열무된장국,미니채소떡갈비,N,898
2016-05-20,봄,2016,5,20,금,N,2635,2179,169,287,56,0,19.3,0.0,1.0,55.4,64.596078,21.3974,밥,순두부찌개,닭오븐구이,N,653
2016-05-23,봄,2016,5,23,월,N,2635,2344,88,203,362,0,19.8,0.0,1.1,56.8,65.349536,21.85232068474681,밥,북어콩나물국,쇠고기불고기,N,1160
2016-05-24,봄,2016,5,24,화,N,2635,2327,74,234,310,0,18.7,25.6,1.1,86.5,65.09124499999999,20.72581858678765,밥,한방갈비탕,꼬지삼색전,N,1107
2016-05-25,봄,2016,5,25,수,N,2635,2305,72,258,0,0,19.3,0.0,0.9,68.1,65.206567,21.459544003978888,낙지볶음밥,미역장국,탕수어,N,938
2016-05-26,봄,2016,5,26,목,N,2635,2286,64,285,227,0,20.6,0.0,0.9,64.9,66.941006,22.774327542370862,밥,쇠고기해장국,갈치구이,N,783
2016-05-27,봄,2016,5,27,금,N,2635,2181,163,291,61,0,22.5,0.0,1.1,56.8,69.0548,24.61737128882839,밥,배추된장국,닭양념조림,N,660
2016-05-30,봄,2016,5,30,월,N,2635,2347,73,215,291,0,21.5,0.0,1.1,58.9,67.829165,23.593278472501883,밥,콩나물김치국,누룽지탕수육,N,1231
2016-05-31,봄,2016,5,31,화,N,2635,2335,50,250,185,0,21.2,0.0,0.8,62.4,67.64531199999999,23.435563787139785,밥,근대된장국,닭갈비,N,921
2016-06-01,여름,2016,6,1,수,N,2637,2317,75,245,0,0,20.4,0.0,1.4,57.4,66.208304,22.33570231961864,열무비빔밥,강된장찌개,오징어튀김,N,916
2016-06-02,여름,2016,6,2,목,N,2637,2298,81,258,301,0,18.9,0.0,1.2,56.0,64.07916,20.87546168261906,밥,오이미역냉국,모둠장조림,N,850
2016-06-03,여름,2016,6,3,금,Y,2637,2178,191,268,64,0,20.7,0.0,1.2,54.5,66.442185,22.72898799019612,밥,차돌박이찌개,찜닭,N,721
2016-06-07,여름,2016,6,7,화,N,2637,2330,115,192,389,0,21.1,0.0,1.0,76.9,68.457941,23.229800000000004,밥,북어계란국,돈육굴소스볶음,N,1244
2016-06-08,여름,2016,6,8,수,N,2637,2339,58,240,0,0,21.2,0.0,0.9,80.0,68.82239999999999,23.381150713936385,밥,참치김치찌개,순살깐풍기,N,931
2016-06-09,여름,2016,6,9,목,N,2637,2316,69,252,359,0,21.7,0.0,1.1,76.9,69.400727,23.798097035767185,밥,매운콩나물국,돼지갈비찜,N,829
2016-06-10,여름,2016,6,10,금,N,2637,2216,151,270,61,0,22.5,0.0,1.2,71.5,70.227125,24.58251429777316,밥,된장찌개,오징어볶음,N,697
2016-06-13,여름,2016,6,13,월,N,2637,2330,98,209,415,0,23.2,0.0,1.3,73.4,71.454312,25.27451668326261,밥,북어콩나물국,제육볶음,N,1243
2016-06-14,여름,2016,6,14,화,N,2637,2340,56,241,432,0,23.0,0.0,1.6,70.4,70.89287999999999,24.98823510537759,밥,배추된장국,닭양념조림,N,973
2016-06-15,여름,2016,6,15,수,N,2637,2317,60,260,0,0,21.9,0.0,1.3,78.6,69.84046599999999,23.92901839862173,카레덮밥,맑은국,떡갈비조림,N,984
2016-06-16,여름,2016,6,16,목,N,2637,2301,73,263,336,0,23.8,0.0,1.4,65.6,71.653872,25.87146714649805,밥,부대찌개,가자미양념찜,N,800
2016-06-17,여름,2016,6,17,금,N,2637,2181,165,291,60,0,22.4,0.0,1.2,62.9,69.398004,24.47954061401888,밥,꽃게탕,돈육강정,N,694
2016-06-20,여름,2016,6,20,월,N,2637,2279,101,257,344,0,22.8,5.2,1.0,84.6,71.76611199999999,24.9604,밥,어묵국,레몬탕수육,N,1146
2016-06-21,여름,2016,6,21,화,N,2637,2340,49,248,349,0,22.6,2.0,0.8,86.0,71.54964000000001,24.84129468983147,밥,대구찌개,간장치킨,N,1091
2016-06-22,여름,2016,6,22,수,N,2637,2332,47,258,0,0,21.5,11.8,0.7,88.3,69.882755,23.7948264510424,밥,시래기국,돈삼겹보쌈,N,1022
2016-06-23,여름,2016,6,23,목,N,2637,2313,53,271,346,0,23.7,0.0,1.1,71.6,72.05770799999999,25.84628266842021,밥,쇠고기무국,매콤낙지볶음,N,877
2016-06-24,여름,2016,6,24,금,N,2637,2184,169,284,52,0,22.5,73.6,1.3,79.9,70.897025,24.55001760691752,밥,도토리묵냉국,목살데리야끼구이,N,805
2016-06-27,여름,2016,6,27,월,N,2637,2314,96,227,300,0,20.4,0.1,0.7,81.8,67.646928,22.69921975800036,밥,배추된장국,훈제오리구이,N,1142
2016-06-28,여름,2016,6,28,화,N,2637,2321,63,253,226,0,21.3,0.0,0.9,73.0,68.50751,23.48228790919731,밥,육개장,고등어구이,N,917
2016-06-29,여름,2016,6,29,수,N,2637,2322,67,248,0,0,21.6,1.7,1.0,78.4,69.349856,23.738800000000005,밥,콩나물국,간장돼지갈비찜,N,820
2016-06-30,여름,2016,6,30,목,N,2637,2314,76,247,151,0,23.5,0.0,1.4,78.3,72.354595,25.55948789706752,밥,버섯들깨찌개,닭오븐구이,N,886
2016-07-01,여름,2016,7,1,금,N,2643,2283,145,215,41,0,23.9,43.1,1.4,84.6,73.578406,25.975460229641563,밥,수제비국,유자청제육볶음,N,879
2016-07-04,여름,2016,7,4,월,N,2643,2365,88,190,385,0,23.8,0.5,0.6,88.3,73.75634600000001,26.1301277026086,밥,감자고추장찌개,버섯불고기,N,1292
2016-07-05,여름,2016,7,5,화,N,2643,2362,55,226,376,0,26.5,0.1,1.8,80.9,77.420415,28.641924106860227,밥,쇠고기미역국,꽁치김치말이찜,N,952
2016-07-06,여름,2016,7,6,수,N,2643,2363,56,224,0,0,26.4,9.3,1.5,78.6,76.987096,28.5647166254854,곤드레밥,가쯔오장국,닭강정,N,939
2016-07-07,여름,2016,7,7,목,N,2643,2341,64,238,340,0,25.9,0.0,1.0,78.1,76.136321,28.116200000000003,밥,된장찌개,갈치조림,N,857
2016-07-08,여름,2016,7,8,금,N,2643,2228,155,260,60,0,25.5,0.0,1.3,74.9,75.152805,27.655013648396483,밥,우무묵냉국,갈릭돈까스,N,863
2016-07-11,여름,2016,7,11,월,N,2643,2312,121,210,366,0,24.4,2.2,0.8,84.9,74.43174400000001,26.648662993292213,밥,호박잎찌개,돈육굴소스볶음,N,1115
2016-07-12,여름,2016,7,12,화,N,2643,2348,72,223,382,0,24.2,4.2,1.0,86.8,74.285144,26.385600000000004,밥,건새우아욱국,순살파닭,N,919
2016-07-13,여름,2016,7,13,수,N,2643,2323,79,241,0,0,25.8,0.0,0.9,80.1,76.202842,28.033461695938755,나물비빔밥,오이냉국,사천식탕수육,N,866
2016-07-14,여름,2016,7,14,목,N,2643,2307,84,252,308,0,26.7,0.0,1.3,67.1,76.068243,28.89701206498807,밥,배추된장국,매운주꾸미볶음,N,781
2016-07-15,여름,2016,7,15,금,N,2643,2193,189,261,55,0,25.0,0.0,1.3,64.9,73.33205000000001,27.13751430814999,밥,북어계란국,등갈비김치찜,N,867
2016-07-18,여름,2016,7,18,월,N,2643,2309,126,208,343,0,24.3,0.0,0.9,72.6,73.06658200000001,26.51640376702494,밥,순두부찌개,돈육떡강정,N,1158
2016-07-19,여름,2016,7,19,화,N,2643,2299,111,233,263,0,24.7,0.0,0.9,74.5,73.87098499999999,26.92095254806862,밥,시래기국,목살데리야끼,N,888
2016-07-20,여름,2016,7,20,수,N,2643,2281,124,238,0,0,24.5,0.0,0.9,67.8,72.89448999999999,26.718678157546783,밥,사골우거지탕,미트볼조림,N,844
2016-07-21,여름,2016,7,21,목,N,2643,2273,115,255,263,0,24.3,0.0,1.0,71.8,72.98852600000001,26.487400000000004,밥,우묵콩국,고추장불고기,N,733
2016-07-22,여름,2016,7,22,금,N,2643,2120,251,272,47,0,24.0,0.0,0.8,75.5,72.8823,26.247025592523165,참치회덮밥,미소장국,고구마치즈구이,N,661
2016-07-25,여름,2016,7,25,월,N,2643,2186,277,180,247,0,28.0,28.4,1.2,76.4,79.23288,30.246066904258583,밥,쇠고기미역국,불닭볶음,N,1086
2016-07-26,여름,2016,7,26,화,N,2643,2198,260,185,269,0,28.0,0.0,1.4,74.5,78.9779,30.23917663852557,밥,청국장찌개,미니채소떡갈비,N,927
2016-07-27,여름,2016,7,27,수,N,2643,2152,299,192,0,0,28.6,0.0,1.5,71.6,79.500024,30.86278254701586,밥,시금치국,동파삼겹수육,N,872
2016-07-28,여름,2016,7,28,목,N,2643,2099,340,204,197,0,28.7,0.0,1.6,73.6,79.934168,30.96734585858416,밥,꽃게탕,훈제오리냉채,N,816
2016-07-29,여름,2016,7,29,금,N,2643,1950,486,207,36,0,28.6,0.0,1.4,74.6,79.920444,30.86313513738664,연복풍덮밥,도토리묵냉국,꽁치오븐구이,N,671
2016-08-01,여름,2016,8,1,월,N,2644,2023,512,109,238,0,26.8,1.6,1.0,73.9,77.047448,29.03240000000001,밥,부대찌개*라면사리,갈치구이,N,1055
2016-08-02,여름,2016,8,2,화,N,2644,2017,460,167,268,0,25.9,10.2,1.0,78.9,76.227049,28.116200000000003,열무보리비빔밥,팽이장국,꽃맛살볶음,N,829
2016-08-03,여름,2016,8,3,수,N,2644,1976,485,183,0,0,26.1,0.5,0.9,78.3,76.476037,28.33687328172152,밥,버섯들깨탕,레몬탕수육,N,802
2016-08-04,여름,2016,8,4,목,N,2644,1977,467,200,262,0,27.1,0.0,1.2,73.6,77.47234399999999,29.319303750470063,밥,복숭아미역냉국,닭데리야끼조림,N,671
2016-08-05,여름,2016,8,5,금,N,2644,1894,538,212,46,0,27.7,0.0,1.2,69.8,77.89685399999999,29.93714585299574,밥,된장찌개,매콤돼지갈비찜,N,641
2016-08-08,여름,2016,8,8,월,N,2644,2043,421,180,255,0,27.5,0.4,1.0,73.0,78.01025,29.745000000000005,밥,호박잎된장국,유자청제육볶음,N,1038
2016-08-09,여름,2016,8,9,화,N,2644,2070,392,182,286,0,27.4,0.0,1.0,73.8,77.959588,29.6432,밥,콩나물국,미니함박조림,N,874
2016-08-10,여름,2016,8,10,수,N,2644,2045,411,188,0,0,29.1,0.0,1.1,67.0,79.59203,31.37638387658336,밥,사과오이냉국,장어강정,N,842
2016-08-11,여름,2016,8,11,목,N,2644,2029,413,202,295,0,29.9,0.0,1.0,67.1,80.78597099999999,32.1882,밥,시래기국,삼겹살오븐구이,N,845
2016-08-12,여름,2016,8,12,금,Y,2644,1842,587,215,60,0,30.5,0.0,1.1,66.3,81.543385,32.810113819440474,불고기덮밥,맑은국,새우까스&탈탈소스,N,708
2016-08-16,여름,2016,8,16,화,N,2644,2115,352,177,351,0,27.1,0.0,0.8,76.0,77.77304000000001,29.35971544848333,밥,닭곰탕,고등어조림,N,1023
2016-08-17,여름,2016,8,17,수,N,2644,2142,311,191,0,0,26.8,13.9,0.9,78.3,77.585656,29.04483364854797,밥,대구매운탕,오징어볶음,N,924
2016-08-18,여름,2016,8,18,목,N,2644,2155,274,215,364,0,27.2,0.0,1.0,71.6,77.373648,29.4396,밥,열무된장국,갈릭돈가스,N,943
2016-08-19,여름,2016,8,19,금,N,2644,2062,345,237,59,0,27.5,0.0,0.9,68.9,77.480325,29.752794015374413,단호박영양밥,도토리묵냉국,소고기숙주볶음,N,754
2016-08-22,여름,2016,8,22,월,N,2644,2370,115,159,458,0,28.4,0.2,1.2,65.3,78.32584800000001,30.657961639275705,밥,꽃게탕,고추잡채*꽃빵,N,1266
2016-08-23,여름,2016,8,23,화,N,2644,2347,86,211,386,0,26.8,1.1,0.9,73.0,76.93736,29.04483364854797,밥,배추된장국,칠리탕수육,N,1145
2016-08-24,여름,2016,8,24,수,N,2644,2322,113,209,0,0,26.9,0.0,1.3,59.0,75.36429,29.104011801086664,밥,해물된장찌개,닭볶음,N,941
2016-08-25,여름,2016,8,25,목,N,2644,2280,123,241,308,0,26.6,0.0,1.0,69.0,76.14946,28.828800000000008,밥,육개장,동태무조림,N,885
2016-08-26,여름,2016,8,26,금,N,2644,2181,194,269,70,0,22.1,3.8,1.1,80.6,70.309674,24.20773416229779,밥,떡국,마늘치킨,N,813
2016-08-29,여름,2016,8,29,월,N,2644,2310,132,202,352,0,21.1,0.1,1.8,61.1,67.416879,22.93358994887521,밥,순두부찌개,소불고기,N,1258
2016-08-30,여름,2016,8,30,화,N,2644,2306,96,242,268,0,22.0,0.0,2.1,55.1,68.24148,23.812363410319943,밥,버섯매운탕,갈치구이,N,901
2016-08-31,여름,2016,8,31,수,N,2644,2310,98,236,0,0,24.8,0.0,4.3,43.6,70.857872,26.59243789006944,낙지비빔밥,가쯔오장국,계란말이,N,915
2016-09-01,가을,2016,9,1,목,N,2769,2420,99,250,336,0,25.0,20.8,1.8,64.3,73.26935,27.056275729642163,밥,오징어국,목살데리야끼,N,953
2016-09-02,가을,2016,9,2,금,N,2769,2313,177,279,76,0,19.2,76.4,0.8,89.8,66.079784,21.42737678329452,밥,시래기된장국,닭찜,N,832
2016-09-05,가을,2016,9,5,월,N,2769,2444,100,225,447,0,24.9,0.5,0.6,82.9,75.04997900000001,27.21569812753347,밥,쇠고기샤브국,오징어볶음,N,1164
2016-09-06,가을,2016,9,6,화,N,2769,2457,59,253,477,0,24.2,0.0,0.7,81.4,73.763612,26.484042879418304,밥,부대찌개,가자미카레튀김,N,784
2016-09-07,가을,2016,9,7,수,N,2769,2463,65,241,0,0,23.6,0.0,0.6,79.5,72.62188,25.932751261713165,곤드레밥,두부맑은국,돈육떡강정,N,926
2016-09-08,가을,2016,9,8,목,N,2769,2445,69,255,438,0,23.3,0.0,0.8,68.1,71.143327,25.54416014117732,밥,된장찌개,오리고추장볶음,N,758
2016-09-09,가을,2016,9,9,금,N,2769,2344,137,288,86,0,23.1,0.0,0.8,74.0,71.35206,25.34334144079279,밥,황태맑은국,유린기,N,682
2016-09-12,가을,2016,9,12,월,N,2769,2265,328,176,306,0,20.3,8.5,0.7,84.9,67.664653,22.59961914954199,밥,시래기국,닭볶음,N,924
2016-09-13,가을,2016,9,13,화,Y,2769,2150,511,108,52,0,21.8,0.0,0.9,74.6,69.390372,23.98797388550192,밥,토란국,매운돼지갈비찜,N,820
2016-09-19,가을,2016,9,19,월,N,2769,2422,167,180,550,0,20.7,0.0,2.3,62.5,66.937625,22.37178244326673,밥,어묵국,오리훈제고추장볶음,N,1271
2016-09-20,가을,2016,9,20,화,N,2769,2473,69,227,588,0,18.9,0.0,2.2,57.0,64.12326999999999,20.469028653608603,밥,얼갈이된장국,레몬탕수육,N,1039
2016-09-21,가을,2016,9,21,수,N,2769,2465,58,246,0,0,18.0,0.0,1.0,68.4,63.28768,20.074000000000005,열무비빔밥,팽이장국,너비아니구이,N,1068
2016-09-22,가을,2016,9,22,목,N,2769,2379,137,253,403,0,19.0,0.0,0.7,75.0,65.0725,21.304811239583216,밥,쇠고기무국,임연수찜,N,891
