瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),老碍荐樊(mm),乞闭 浅加(m/s),乞闭 惑措嚼档(%)
192,柳林,2016-09-30,17,30.7,.7,88.5
192,柳林,2016-10-01,19.2,.5,.5,86.6
192,柳林,2016-10-02,21.4,.5,.5,86.4
192,柳林,2016-10-03,23.6,,.7,83.6
192,柳林,2016-10-04,21.8,1.9,1.3,72.1
192,柳林,2016-10-05,20,82.2,2.2,81.4
192,柳林,2016-10-06,18.9,,.7,68.5
192,柳林,2016-10-07,18.3,1.6,.7,79.9
192,柳林,2016-10-08,17.2,26.8,.6,85.6
192,柳林,2016-10-09,14,,1.6,52.8
192,柳林,2016-10-10,14.4,,.8,69.9
192,柳林,2016-10-11,14.3,,.4,78.4
192,柳林,2016-10-12,15.6,,.7,69.9
192,柳林,2016-10-13,15.2,,.3,79.1
192,柳林,2016-10-14,14.8,,.5,72.1
192,柳林,2016-10-15,15.4,,.5,75.9
192,柳林,2016-10-16,14.9,41.7,.4,90.8
192,柳林,2016-10-17,18,,.6,84.3
192,柳林,2016-10-18,16.7,,.6,78.6
192,柳林,2016-10-19,16.7,,.4,79.6
192,柳林,2016-10-20,16.2,,.6,78.1
192,柳林,2016-10-21,16.5,0,1.1,70.3
192,柳林,2016-10-22,16.6,0,.8,72.3
192,柳林,2016-10-23,15.7,,1.7,64.6
192,柳林,2016-10-24,14.8,,1.1,63.4
192,柳林,2016-10-25,14.9,3.5,.7,82.6
192,柳林,2016-10-26,13.9,,.6,77.6
192,柳林,2016-10-27,14.2,,.9,70.6
192,柳林,2016-10-28,14,10.7,1,81.4
192,柳林,2016-10-29,12.7,,1,68.3
192,柳林,2016-10-30,8.8,,.9,64.8
192,柳林,2016-10-31,7.9,.7,.5,80.9
192,柳林,2016-11-01,6,,1.7,50.9
192,柳林,2016-11-02,5.5,,1.1,56.3
192,柳林,2016-11-03,7.7,,.7,73.1
192,柳林,2016-11-04,9.6,,.9,69
192,柳林,2016-11-05,10.8,,.8,77.9
192,柳林,2016-11-06,11.5,,.9,75.6
192,柳林,2016-11-07,12.4,,.7,71.9
192,柳林,2016-11-08,11.1,0,1.5,54.8
192,柳林,2016-11-09,5.8,,1.1,46.9
192,柳林,2016-11-10,9.2,0,.9,64.3
192,柳林,2016-11-11,9,,.7,69.5
192,柳林,2016-11-12,9.3,,.6,72.1
192,柳林,2016-11-13,11.4,1.1,.6,80.6
192,柳林,2016-11-14,14.3,4,.6,90.4
192,柳林,2016-11-15,11.3,,1,56
192,柳林,2016-11-16,6.7,,.5,61
192,柳林,2016-11-17,9.1,,.7,61.9
192,柳林,2016-11-18,9.8,25,.5,81.6
192,柳林,2016-11-19,13.7,.6,.3,89
192,柳林,2016-11-20,12.9,,.5,79.8
192,柳林,2016-11-21,10.7,,.3,82.6
192,柳林,2016-11-22,8.8,,1.3,58.4
192,柳林,2016-11-23,6.5,,1.4,32.9
192,柳林,2016-11-24,3.1,,2.4,33.5
192,柳林,2016-11-25,3.2,,.8,50.3
192,柳林,2016-11-26,1.3,1.8,.7,75.5
192,柳林,2016-11-27,4.5,,.9,73.4
192,柳林,2016-11-28,3.9,,.8,61.5
192,柳林,2016-11-29,3.7,,1,56
192,柳林,2016-11-30,7,4.5,.6,71
192,柳林,2016-12-01,7.3,,1.2,59.1
192,柳林,2016-12-02,2.6,,.5,60.9
192,柳林,2016-12-03,2.9,,.4,63.1
192,柳林,2016-12-04,4,,.4,75.3
192,柳林,2016-12-05,6.4,,.5,76.1
192,柳林,2016-12-06,3.6,,1.2,40
192,柳林,2016-12-07,.4,,.6,68.4
192,柳林,2016-12-08,3.2,,.7,70.4
192,柳林,2016-12-09,6.9,,1.6,49.9
192,柳林,2016-12-10,1.7,,.7,45.4
192,柳林,2016-12-11,-.2,,.6,47.3
192,柳林,2016-12-12,3.7,,.5,54.9
192,柳林,2016-12-13,6.2,,.7,64
192,柳林,2016-12-14,2.7,,1.3,48.1
192,柳林,2016-12-15,-.2,,1.9,47.6
192,柳林,2016-12-16,-1.2,,1.1,35.8
192,柳林,2016-12-17,0,,.4,62.6
192,柳林,2016-12-18,1.6,,.4,71.6
192,柳林,2016-12-19,5.9,11,.5,86.6
192,柳林,2016-12-20,8.2,,.7,81.5
192,柳林,2016-12-21,6.8,45.7,.7,87.5
192,柳林,2016-12-22,11.5,11,2.8,65.1
192,柳林,2016-12-23,4.1,,1.8,49.4
192,柳林,2016-12-24,1.9,,1,54.3
192,柳林,2016-12-25,3.4,,.5,73
192,柳林,2016-12-26,5.7,15.3,.7,86
192,柳林,2016-12-27,3.7,1,2.2,47.8
192,柳林,2016-12-28,-.5,,.7,55.6
192,柳林,2016-12-29,-.3,,1.4,47.5
192,柳林,2016-12-30,-1.9,,.5,51.6
192,柳林,2016-12-31,.3,,.5,65.3
192,柳林,2017-01-01,1.6,,.4,71.9
192,柳林,2017-01-02,4.4,,.5,72.8
192,柳林,2017-01-03,2.5,,.4,68.4
192,柳林,2017-01-04,1.8,,.2,71.9
192,柳林,2017-01-05,4.5,,.9,68.1
192,柳林,2017-01-06,5.7,,1.2,60.5
192,柳林,2017-01-07,3.8,0,.4,69.9
192,柳林,2017-01-08,6.9,2.9,.7,76.4
192,柳林,2017-01-09,4.7,,1.7,57.4
192,柳林,2017-01-10,.8,,1.1,55.8
192,柳林,2017-01-11,-.1,,1.4,33
192,柳林,2017-01-12,.8,,1.4,55.3
192,柳林,2017-01-13,-.2,,2,44.9
192,柳林,2017-01-14,-2.8,,3,34.3
192,柳林,2017-01-15,-2.8,,1.4,32.4
192,柳林,2017-01-16,-2.4,,.9,39.8
192,柳林,2017-01-17,-1.8,,.4,50
192,柳林,2017-01-18,1.2,,.9,49.4
192,柳林,2017-01-19,-.5,,.4,59.1
192,柳林,2017-01-20,-.6,,2.5,50.1
192,柳林,2017-01-21,-1.9,,1.2,55.1
192,柳林,2017-01-22,-.7,,2.5,42.4
192,柳林,2017-01-23,-3.5,,1.8,39.8
192,柳林,2017-01-24,-3.4,,1.2,44.1
192,柳林,2017-01-25,-3.1,,.5,49
192,柳林,2017-01-26,-.2,,.8,45.8
192,柳林,2017-01-27,4.7,,1.9,33.6
192,柳林,2017-01-28,1.9,,.7,45.1
192,柳林,2017-01-29,3.6,4.6,.6,80.9
192,柳林,2017-01-30,1.5,.6,2.7,47.9
192,柳林,2017-01-31,-1.1,,.6,50.9
192,柳林,2017-02-01,.9,,1.8,34.6
192,柳林,2017-02-02,.6,,1.1,37.9
192,柳林,2017-02-03,1.1,,.6,48.8
192,柳林,2017-02-04,5.7,1.7,.7,49.1
192,柳林,2017-02-05,6.3,2.7,1.5,67.3
192,柳林,2017-02-06,2.1,,1.9,40.9
192,柳林,2017-02-07,1.2,,.6,49.8
192,柳林,2017-02-08,2.9,,.9,45.5
192,柳林,2017-02-09,.1,,3,31.5
192,柳林,2017-02-10,-2.4,,2.6,35.9
192,柳林,2017-02-11,-1,,2.1,37.4
192,柳林,2017-02-12,-.6,,.8,48.9
192,柳林,2017-02-13,1.8,,.7,50
192,柳林,2017-02-14,2.2,,.9,49.5
192,柳林,2017-02-15,2.2,,.5,49.6
192,柳林,2017-02-16,6.7,2.5,1,66.6
192,柳林,2017-02-17,10.2,.4,2.2,44.1
192,柳林,2017-02-18,2.9,,1.6,19.6
192,柳林,2017-02-19,3.7,,.9,50.6
192,柳林,2017-02-20,7.4,.4,2.7,45.3
192,柳林,2017-02-21,1.6,,.6,48.3
192,柳林,2017-02-22,3.4,30.1,.4,84.5
192,柳林,2017-02-23,4.1,,2.6,42.6
192,柳林,2017-02-24,2.5,,2.2,31.1
192,柳林,2017-02-25,2.3,,.8,49.6
192,柳林,2017-02-26,3,,.7,54.5
192,柳林,2017-02-27,5.1,,.8,60.1
192,柳林,2017-02-28,5.1,,.8,55.9
192,柳林,2017-03-01,6.5,.6,1,61.3
192,柳林,2017-03-02,4.5,1.3,2.5,50.6
192,柳林,2017-03-03,4,,.9,48.6
192,柳林,2017-03-04,5.6,,.9,57.8
192,柳林,2017-03-05,6.3,,.7,59.4
192,柳林,2017-03-06,4.7,,2.5,32.6
192,柳林,2017-03-07,1.2,,2,35.4
192,柳林,2017-03-08,1,,1.7,47.5
192,柳林,2017-03-09,5.1,,2.4,37.5
192,柳林,2017-03-10,5.6,,1,42
192,柳林,2017-03-11,6.3,,.9,41.9
192,柳林,2017-03-12,8.3,,.9,49.3
192,柳林,2017-03-13,9.3,,1.2,47.8
192,柳林,2017-03-14,8.4,,1.8,43.4
192,柳林,2017-03-15,5.5,,1.1,43
192,柳林,2017-03-16,6.5,,1,56
192,柳林,2017-03-17,6.5,,1,49.5
192,柳林,2017-03-18,7.1,,.7,51.3
192,柳林,2017-03-19,8.5,,1,53.8
192,柳林,2017-03-20,7.1,7.9,.8,75.4
192,柳林,2017-03-21,9.2,2.3,1.6,54.4
192,柳林,2017-03-22,6.9,,.8,55.4
192,柳林,2017-03-23,9.3,,.8,49.4
192,柳林,2017-03-24,8.1,0,1,61.3
192,柳林,2017-03-25,6.3,10.9,1,85.1
192,柳林,2017-03-26,6.5,.7,1.1,78.4
192,柳林,2017-03-27,5.6,,1.2,60.8
192,柳林,2017-03-28,7.4,.6,1.1,55.6
192,柳林,2017-03-29,7,4.5,.8,86.6
192,柳林,2017-03-30,10.6,,1.2,62.4
192,柳林,2017-03-31,9.9,2.6,1.1,69.9
192,柳林,2017-04-01,7.7,.6,1.1,78.9
192,柳林,2017-04-02,8.4,,1.4,58.8
192,柳林,2017-04-03,11,,1.1,45.9
192,柳林,2017-04-04,12.6,,1.1,43.5
192,柳林,2017-04-05,13.4,48.5,1.3,77.4
192,柳林,2017-04-06,15.6,15.7,1.5,86.4
192,柳林,2017-04-07,15,,1.2,69.5
192,柳林,2017-04-08,16.3,,.9,62.6
192,柳林,2017-04-09,14.9,,1.7,56.4
192,柳林,2017-04-10,13.5,.1,2.2,45.3
192,柳林,2017-04-11,13.2,11.5,1.7,59
192,柳林,2017-04-12,14,,2.4,23
192,柳林,2017-04-13,13.7,,1.6,42.5
192,柳林,2017-04-14,15.2,0,2.1,49
192,柳林,2017-04-15,18,0,1.9,59.8
192,柳林,2017-04-16,16.8,,1,62
192,柳林,2017-04-17,14.2,16.5,.8,88.6
192,柳林,2017-04-18,14.7,0,1.9,60.4
192,柳林,2017-04-19,14.6,,1.8,36.1
192,柳林,2017-04-20,13,.2,1,52.6
192,柳林,2017-04-21,14.3,,1,56.1
192,柳林,2017-04-22,12.5,0,.9,68
192,柳林,2017-04-23,14.1,,1.3,63.4
192,柳林,2017-04-24,14.6,,1.2,59.9
192,柳林,2017-04-25,17.3,.1,1.3,68.1
192,柳林,2017-04-26,14.7,1.7,.9,71.6
192,柳林,2017-04-27,14.7,,2,29.5
192,柳林,2017-04-28,15.4,,2,38.8
192,柳林,2017-04-29,17.6,,1.5,41
192,柳林,2017-04-30,19.6,,1.5,45.6
192,柳林,2017-05-01,17.1,,1.4,52.6
192,柳林,2017-05-02,15.7,,.9,49.6
192,柳林,2017-05-03,16.6,,1,54.3
192,柳林,2017-05-04,17.9,.6,1.1,61
192,柳林,2017-05-05,17.5,4,.6,88.3
192,柳林,2017-05-06,17.6,,1.2,41.9
192,柳林,2017-05-07,17.6,,1.7,40.6
192,柳林,2017-05-08,17.7,,1,50.3
192,柳林,2017-05-09,13.6,25.3,1,88
192,柳林,2017-05-10,16.6,.1,1.1,74.8
192,柳林,2017-05-11,19.9,,1.3,61.6
192,柳林,2017-05-12,17,9.1,.8,85.4
192,柳林,2017-05-13,18.2,,1.3,68.8
192,柳林,2017-05-14,17.2,,1.4,42.9
192,柳林,2017-05-15,16,,1.1,49
192,柳林,2017-05-16,16.5,,1,60.6
192,柳林,2017-05-17,17.1,,.9,60.5
192,柳林,2017-05-18,18.8,,.9,58
192,柳林,2017-05-19,20.3,,1,53.8
192,柳林,2017-05-20,19.6,,1.1,52.6
192,柳林,2017-05-21,19.3,,1,59.8
192,柳林,2017-05-22,19.6,,1.2,56.6
192,柳林,2017-05-23,18.9,,1,67.6
192,柳林,2017-05-24,20.2,3.9,1.1,73.9
192,柳林,2017-05-25,21.5,,1.9,51.9
192,柳林,2017-05-26,17.4,,1.6,43.8
192,柳林,2017-05-27,17.5,,1.3,54.1
192,柳林,2017-05-28,18.7,,1.2,58
192,柳林,2017-05-29,23.5,,1,51.6
192,柳林,2017-05-30,23.4,,.8,51.6
192,柳林,2017-05-31,21.3,.8,1.4,69.3
192,柳林,2017-06-01,23.4,,1.6,58.1
192,柳林,2017-06-02,20,,1.8,49.3
192,柳林,2017-06-03,21.1,0,1.5,47
192,柳林,2017-06-04,19.8,,1.2,46.8
192,柳林,2017-06-05,19.5,,1.3,50.5
192,柳林,2017-06-06,17.2,10.7,.9,68.6
192,柳林,2017-06-07,19.6,12.6,1.8,72.3
192,柳林,2017-06-08,21.3,,1.2,54.6
192,柳林,2017-06-09,22.6,,1.4,49.6
192,柳林,2017-06-10,22,,1.4,63.8
192,柳林,2017-06-11,20.6,2.3,1.5,59
192,柳林,2017-06-12,19,,1.4,56.5
192,柳林,2017-06-13,18.8,.3,1.2,65.8
192,柳林,2017-06-14,20.9,,1.4,61.1
192,柳林,2017-06-15,23.3,,1.2,48.8
192,柳林,2017-06-16,21.8,,1.2,57.6
192,柳林,2017-06-17,22,,1.3,54.4
192,柳林,2017-06-18,22.6,,1.2,58
192,柳林,2017-06-19,24.1,,1.4,54.5
192,柳林,2017-06-20,21.2,10.3,1,73.3
192,柳林,2017-06-21,22.5,,1.3,66.6
192,柳林,2017-06-22,23.5,,1.3,62.9
192,柳林,2017-06-23,23.8,,1.1,62.9
192,柳林,2017-06-24,23.1,,1.2,64.3
192,柳林,2017-06-25,23.3,.5,1.3,71.5
192,柳林,2017-06-26,21.7,10.5,.9,84.5
192,柳林,2017-06-27,22.8,0,1,70.1
192,柳林,2017-06-28,23.4,,1.1,66.6
192,柳林,2017-06-29,22,4.8,.8,78.8
192,柳林,2017-06-30,24.1,0,1.1,75.9
192,柳林,2017-07-01,25.9,,1.8,74
192,柳林,2017-07-02,26,1.4,1.5,79.3
192,柳林,2017-07-03,26.6,.3,1.6,72.6
192,柳林,2017-07-04,26.1,1.9,1.2,80.5
192,柳林,2017-07-05,25.8,17.6,1.2,81.8
192,柳林,2017-07-06,24.8,5.2,1,89.6
192,柳林,2017-07-07,25.2,.3,.9,90.4
192,柳林,2017-07-08,25.5,7.1,1,91.9
192,柳林,2017-07-09,26.8,,1.2,84.3
192,柳林,2017-07-10,26.9,0,1.9,85.8
192,柳林,2017-07-11,26.1,0,1.7,78.5
192,柳林,2017-07-12,27.4,,1.2,75.6
192,柳林,2017-07-13,26.8,,1.1,78.3
192,柳林,2017-07-14,26.7,0,1.2,81.9
192,柳林,2017-07-15,27,0,1.2,80
192,柳林,2017-07-16,28.8,,1.8,73.6
192,柳林,2017-07-17,26.6,4.8,1.2,83.1
192,柳林,2017-07-18,26.7,1.9,.9,83.6
192,柳林,2017-07-19,27.8,,1,73.5
192,柳林,2017-07-20,28.5,,1.1,78.1
192,柳林,2017-07-21,30.2,,1.4,73.5
192,柳林,2017-07-22,30,,1.3,72.9
