,datetime,year,month,date,vacation,worker_number,real_number,vacation_number,biztrip_number,overtime_number,telecom_number,temperature,rain,wind,humidity,discomfort_index,perceived_temperature,dinner_number,season_fall,season_spring,season_summer,season_winter,weekdays_friday,weekdays_monday,weekdays_thursday,weekdays_tuesday,weekdays_wednesday,dinner_rice_N,dinner_rice_Y,new_dinner_N,new_dinner_Y
17,2016-02-29,2016,2,29,1,2601,1838,595,168,110,0,-0.2,0.0,2.7,43.8,39.787876,-0.4256789073723097,344,0,0,0,1,0,1,0,0,0,0,1,1,0
18,2016-03-02,2016,3,2,0,2624,2315,127,182,261,0,3.8,0.0,1.3,49.6,44.151152,5.195542281698645,631,0,1,0,0,0,0,0,0,1,0,1,1,0
19,2016-03-03,2016,3,3,0,2624,2339,61,224,351,0,6.7,0.0,1.1,61.9,46.981127,8.436704790869525,473,0,1,0,0,0,0,1,0,0,1,0,1,0
20,2016-03-04,2016,3,4,0,2624,2294,83,247,79,0,8.2,36.1,0.8,88.4,47.477112,10.382348262145523,673,0,1,0,0,1,0,0,0,0,0,1,1,0
21,2016-03-07,2016,3,7,0,2624,2379,50,195,456,0,11.0,0.0,1.1,67.8,52.89802,12.840303901073518,625,0,1,0,0,0,1,0,0,0,0,1,1,0
22,2016-03-08,2016,3,8,0,2624,2365,47,212,426,0,8.0,3.3,1.3,65.1,48.62662,9.542536739769194,609,0,1,0,0,0,0,0,1,0,1,0,1,0
23,2016-03-09,2016,3,9,0,2624,2356,43,225,0,0,5.2,6.8,1.3,56.6,45.331968,6.64454043438883,523,0,1,0,0,0,0,0,0,1,0,1,1,0
24,2016-03-10,2016,3,10,0,2624,2324,55,245,290,0,3.0,0.0,2.1,33.0,44.9911,3.5208162821164457,525,0,1,0,0,0,0,1,0,0,1,0,1,0
25,2016-03-11,2016,3,11,0,2624,2241,108,275,76,0,2.0,0.0,1.5,34.1,43.71888,3.077076404874828,591,0,1,0,0,1,0,0,0,0,0,1,1,0
26,2016-03-14,2016,3,14,0,2624,2380,61,183,376,0,5.5,0.0,1.4,50.5,46.283225,6.840732931235303,586,0,1,0,0,0,1,0,0,0,0,1,1,0
27,2016-03-15,2016,3,15,0,2624,2355,38,231,399,0,5.9,0.0,1.0,49.1,46.925631,7.7562000000000015,545,0,1,0,0,0,0,0,1,0,1,0,1,0
28,2016-03-16,2016,3,16,0,2624,2361,50,213,0,0,8.4,0.0,1.2,53.1,49.926496,10.063224888419624,531,0,1,0,0,0,0,0,0,1,0,1,1,0
29,2016-03-17,2016,3,17,0,2624,2330,52,242,327,0,9.3,0.0,1.1,55.3,51.016571,11.099346113318452,548,0,1,0,0,0,0,1,0,0,1,0,1,0
30,2016-03-18,2016,3,18,0,2624,2229,118,277,57,0,9.8,27.6,0.5,89.3,50.131986,12.512063861653775,521,0,1,0,0,1,0,0,0,0,0,1,1,0
31,2016-03-21,2016,3,21,0,2624,2354,65,205,329,0,9.3,0.0,1.1,62.5,50.649875,11.099346113318452,605,0,1,0,0,0,1,0,0,0,0,1,1,0
32,2016-03-22,2016,3,22,0,2624,2375,41,208,378,0,9.6,0.0,1.0,64.5,50.98258,11.522799999999998,585,0,1,0,0,0,0,0,1,0,1,0,1,0
33,2016-03-23,2016,3,23,0,2624,2346,42,236,0,0,10.5,0.0,1.3,52.3,52.762685000000005,12.130033441001665,544,0,1,0,0,0,0,0,0,1,0,1,1,0
34,2016-03-24,2016,3,24,0,2624,2320,53,251,293,0,8.3,0.0,2.0,45.6,50.249152,9.25183134715763,507,0,1,0,0,0,0,1,0,0,1,0,1,0
35,2016-03-25,2016,3,25,0,2624,2251,98,275,59,0,6.8,2.8,1.2,70.8,46.449856,8.415645948351134,523,0,1,0,0,1,0,0,0,0,0,1,1,0
36,2016-03-28,2016,3,28,0,2624,2350,77,197,299,0,8.4,0.0,1.0,49.9,50.117984,10.301200000000003,637,0,1,0,0,0,1,0,0,0,0,1,1,0
37,2016-03-29,2016,3,29,0,2624,2327,52,245,259,0,10.7,0.0,1.8,60.0,52.7428,11.93976120016332,465,0,1,0,0,0,0,0,1,0,1,0,1,0
38,2016-03-30,2016,3,30,0,2624,2346,48,230,0,0,13.8,0.0,1.3,53.6,57.136032,15.545529086628523,463,0,1,0,0,0,0,0,0,1,0,1,1,0
39,2016-03-31,2016,3,31,0,2624,2340,36,248,158,0,12.0,0.0,0.9,61.9,54.52202,14.076528749931644,526,0,1,0,0,0,0,1,0,0,1,0,1,0
40,2016-04-01,2016,4,1,0,2643,2286,103,254,47,0,13.6,0.0,1.1,57.3,56.836972,15.502945223522447,591,0,1,0,0,1,0,0,0,0,0,1,1,0
41,2016-04-04,2016,4,4,0,2643,2360,62,221,367,0,11.2,2.6,1.0,81.9,52.741372,13.151600000000002,614,0,1,0,0,0,1,0,0,0,0,1,1,0
42,2016-04-05,2016,4,5,0,2643,2370,31,242,370,0,12.4,0.0,0.9,66.8,54.991968,14.48107753097533,555,0,1,0,0,0,0,0,1,0,1,0,1,0
43,2016-04-06,2016,4,6,0,2643,2357,37,249,0,0,11.8,26.1,1.0,64.9,54.158918,13.762400000000005,492,0,1,0,0,0,0,0,0,1,0,1,1,0
44,2016-04-07,2016,4,7,0,2643,2338,47,258,339,0,12.2,28.7,0.7,82.5,54.34885,14.531969864414252,524,0,1,0,0,0,0,1,0,0,1,0,1,0
45,2016-04-08,2016,4,8,0,2643,2273,87,283,64,0,15.0,0.0,1.0,60.3,58.78165,17.020000000000003,542,0,1,0,0,1,0,0,0,0,0,1,1,0
46,2016-04-11,2016,4,11,0,2643,2358,82,203,392,0,10.8,0.0,1.7,66.0,52.66672,12.116358783408192,536,0,1,0,0,0,1,0,0,0,0,1,1,0
47,2016-04-12,2016,4,12,1,2643,2342,76,225,239,0,11.5,3.1,1.2,58.6,53.90681,13.255409084802316,500,0,1,0,0,0,0,0,1,0,1,0,1,0
48,2016-04-14,2016,4,14,0,2643,2285,106,252,326,0,17.1,0.0,1.3,57.6,61.665304000000006,18.961024732255385,562,0,1,0,0,0,0,1,0,0,1,0,1,0
49,2016-04-15,2016,4,15,0,2643,2231,131,281,82,0,12.9,0.0,1.2,59.3,55.842303,14.69704065736224,582,0,1,0,0,1,0,0,0,0,0,1,1,0
50,2016-04-18,2016,4,18,0,2643,2337,81,225,330,0,14.4,0.0,1.7,43.0,57.94508,15.90763893699085,525,0,1,0,0,0,1,0,0,0,0,1,1,0
51,2016-04-19,2016,4,19,0,2643,2360,44,239,387,0,13.5,0.0,1.8,46.5,56.800225,14.899638170970368,449,0,1,0,0,0,0,0,1,0,1,0,1,0
52,2016-04-20,2016,4,20,0,2643,2334,47,262,0,0,13.5,0.0,1.2,58.8,56.68522,15.314882759887922,504,0,1,0,0,0,0,0,0,1,0,1,1,0
53,2016-04-21,2016,4,21,0,2643,2313,66,264,312,0,13.8,33.2,0.7,89.0,56.91018,16.125579599748125,531,0,1,0,0,0,0,1,0,0,1,0,1,0
54,2016-04-22,2016,4,22,0,2643,2218,150,275,86,0,17.0,0.0,1.3,70.9,61.86377,18.857524864206084,557,0,1,0,0,1,0,0,0,0,0,1,1,0
55,2016-04-25,2016,4,25,0,2643,2346,96,201,281,0,15.4,0.0,1.1,51.6,59.262136,17.346312292910167,528,0,1,0,0,0,1,0,0,0,0,1,1,0
56,2016-04-26,2016,4,26,0,2643,2365,51,227,304,0,16.3,1.2,1.2,61.4,60.630918,18.198145905007777,568,0,1,0,0,0,0,0,1,0,1,0,1,0
57,2016-04-27,2016,4,27,0,2643,2338,71,234,0,0,11.4,42.9,1.9,84.5,52.98717,12.614347915124108,490,0,1,0,0,0,0,0,0,1,0,1,1,0
58,2016-04-28,2016,4,28,0,2643,2318,56,269,196,0,14.1,5.0,0.9,77.1,57.458089,16.20040985041099,508,0,1,0,0,0,0,1,0,0,1,0,1,0
59,2016-04-29,2016,4,29,0,2643,2222,139,282,28,0,15.0,0.0,1.3,63.3,58.79815,16.78752750322011,507,0,1,0,0,1,0,0,0,0,0,1,1,0
60,2016-05-02,2016,5,2,0,2635,2341,80,214,302,0,17.8,0.0,1.5,74.8,63.202856,19.58136802313905,551,0,1,0,0,0,1,0,0,0,0,1,1,0
61,2016-05-03,2016,5,3,0,2635,2319,65,251,292,0,16.6,80.6,4.4,66.6,61.167244,17.367920921512425,515,0,1,0,0,0,0,0,1,0,0,1,1,0
62,2016-05-04,2016,5,4,1,2635,2241,150,244,0,0,17.8,0.0,4.2,32.4,61.794328,18.757336354998326,636,0,1,0,0,0,0,0,0,1,1,0,1,0
63,2016-05-09,2016,5,9,0,2635,2301,101,233,344,0,17.6,0.0,0.8,54.9,62.271076,19.82082718021829,591,0,1,0,0,0,1,0,0,0,0,1,1,0
64,2016-05-10,2016,5,10,0,2635,2330,53,252,350,0,14.4,31.3,1.0,86.0,57.92616,16.409200000000002,519,0,1,0,0,0,0,0,1,0,1,0,1,0
65,2016-05-11,2016,5,11,0,2635,2309,60,266,0,0,15.8,0.1,1.1,72.3,60.068266,17.755949419440775,423,0,1,0,0,0,0,0,0,1,0,1,1,0
66,2016-05-12,2016,5,12,0,2635,2290,71,274,315,0,17.6,0.0,1.5,63.4,62.536616,19.372452939363555,532,0,1,0,0,0,0,1,0,0,1,0,1,0
67,2016-05-13,2016,5,13,0,2635,2182,185,268,80,0,16.2,0.0,1.2,71.8,60.669884,18.09517222125349,517,0,1,0,0,1,0,0,0,0,0,1,1,0
68,2016-05-16,2016,5,16,0,2635,2320,99,216,368,0,15.1,6.0,1.8,58.1,58.908069,16.590996440002964,594,0,1,0,0,0,1,0,0,0,0,1,1,0
69,2016-05-17,2016,5,17,0,2635,2340,41,254,377,0,16.4,0.0,1.0,53.8,60.625568,18.4452,633,0,1,0,0,0,0,0,1,0,1,0,1,0
70,2016-05-18,2016,5,18,0,2635,2307,71,257,0,0,19.3,0.0,1.0,56.8,64.663376,21.3974,456,0,1,0,0,0,0,0,0,1,0,1,1,0
71,2016-05-19,2016,5,19,0,2635,2304,65,266,264,0,19.0,0.0,0.9,58.6,64.33286000000001,21.156132418196123,529,0,1,0,0,0,0,1,0,0,1,0,1,0
72,2016-05-20,2016,5,20,0,2635,2179,169,287,56,0,19.3,0.0,1.0,55.4,64.596078,21.3974,487,0,1,0,0,1,0,0,0,0,0,1,1,0
73,2016-05-23,2016,5,23,0,2635,2344,88,203,362,0,19.8,0.0,1.1,56.8,65.349536,21.85232068474681,613,0,1,0,0,0,1,0,0,0,0,1,1,0
74,2016-05-24,2016,5,24,0,2635,2327,74,234,310,0,18.7,25.6,1.1,86.5,65.09124499999999,20.72581858678765,465,0,1,0,0,0,0,0,1,0,1,0,1,0
75,2016-05-25,2016,5,25,0,2635,2305,72,258,0,0,19.3,0.0,0.9,68.1,65.206567,21.459544003978888,454,0,1,0,0,0,0,0,0,1,0,1,1,0
76,2016-05-26,2016,5,26,0,2635,2286,64,285,227,0,20.6,0.0,0.9,64.9,66.941006,22.774327542370862,520,0,1,0,0,0,0,1,0,0,1,0,1,0
77,2016-05-27,2016,5,27,0,2635,2181,163,291,61,0,22.5,0.0,1.1,56.8,69.0548,24.61737128882839,493,0,1,0,0,1,0,0,0,0,0,1,1,0
78,2016-05-30,2016,5,30,0,2635,2347,73,215,291,0,21.5,0.0,1.1,58.9,67.829165,23.593278472501883,631,0,1,0,0,0,1,0,0,0,0,1,1,0
79,2016-05-31,2016,5,31,0,2635,2335,50,250,185,0,21.2,0.0,0.8,62.4,67.64531199999999,23.435563787139785,535,0,1,0,0,0,0,0,1,0,1,0,1,0
80,2016-06-01,2016,6,1,0,2637,2317,75,245,0,0,20.4,0.0,1.4,57.4,66.208304,22.335702319618637,490,0,0,1,0,0,0,0,0,1,0,1,1,0
81,2016-06-02,2016,6,2,0,2637,2298,81,258,301,0,18.9,0.0,1.2,56.0,64.07916,20.87546168261906,483,0,0,1,0,0,0,1,0,0,1,0,1,0
82,2016-06-03,2016,6,3,1,2637,2178,191,268,64,0,20.7,0.0,1.2,54.5,66.442185,22.728987990196117,548,0,0,1,0,1,0,0,0,0,0,1,1,0
83,2016-06-07,2016,6,7,0,2637,2330,115,192,389,0,21.1,0.0,1.0,76.9,68.457941,23.229800000000004,629,0,0,1,0,0,0,0,1,0,1,0,1,0
84,2016-06-08,2016,6,8,0,2637,2339,58,240,0,0,21.2,0.0,0.9,80.0,68.82239999999999,23.381150713936385,500,0,0,1,0,0,0,0,0,1,0,1,1,0
85,2016-06-09,2016,6,9,0,2637,2316,69,252,359,0,21.7,0.0,1.1,76.9,69.400727,23.798097035767185,506,0,0,1,0,0,0,1,0,0,1,0,1,0
86,2016-06-10,2016,6,10,0,2637,2216,151,270,61,0,22.5,0.0,1.2,71.5,70.227125,24.58251429777316,509,0,0,1,0,1,0,0,0,0,0,1,1,0
87,2016-06-13,2016,6,13,0,2637,2330,98,209,415,0,23.2,0.0,1.3,73.4,71.454312,25.27451668326261,590,0,0,1,0,0,1,0,0,0,0,1,1,0
88,2016-06-14,2016,6,14,0,2637,2340,56,241,432,0,23.0,0.0,1.6,70.4,70.89287999999999,24.98823510537759,593,0,0,1,0,0,0,0,1,0,1,0,1,0
89,2016-06-15,2016,6,15,0,2637,2317,60,260,0,0,21.9,0.0,1.3,78.6,69.84046599999999,23.92901839862173,535,0,0,1,0,0,0,0,0,1,0,1,1,0
90,2016-06-16,2016,6,16,0,2637,2301,73,263,336,0,23.8,0.0,1.4,65.6,71.653872,25.871467146498052,524,0,0,1,0,0,0,1,0,0,1,0,1,0
91,2016-06-17,2016,6,17,0,2637,2181,165,291,60,0,22.4,0.0,1.2,62.9,69.398004,24.47954061401888,484,0,0,1,0,1,0,0,0,0,0,1,1,0
92,2016-06-20,2016,6,20,0,2637,2279,101,257,344,0,22.8,5.2,1.0,84.6,71.76611199999999,24.9604,585,0,0,1,0,0,1,0,0,0,0,1,1,0
93,2016-06-21,2016,6,21,0,2637,2340,49,248,349,0,22.6,2.0,0.8,86.0,71.54964000000001,24.84129468983147,645,0,0,1,0,0,0,0,1,0,1,0,1,0
94,2016-06-22,2016,6,22,0,2637,2332,47,258,0,0,21.5,11.8,0.7,88.3,69.882755,23.7948264510424,467,0,0,1,0,0,0,0,0,1,0,1,1,0
95,2016-06-23,2016,6,23,0,2637,2313,53,271,346,0,23.7,0.0,1.1,71.6,72.05770799999999,25.84628266842021,588,0,0,1,0,0,0,1,0,0,1,0,1,0
96,2016-06-24,2016,6,24,0,2637,2184,169,284,52,0,22.5,73.6,1.3,79.9,70.897025,24.55001760691752,475,0,0,1,0,1,0,0,0,0,0,1,1,0
97,2016-06-27,2016,6,27,0,2637,2314,96,227,300,0,20.4,0.1,0.7,81.8,67.646928,22.69921975800036,609,0,0,1,0,0,1,0,0,0,0,1,1,0
98,2016-06-28,2016,6,28,0,2637,2321,63,253,226,0,21.3,0.0,0.9,73.0,68.50751,23.48228790919731,535,0,0,1,0,0,0,0,1,0,1,0,1,0
99,2016-06-29,2016,6,29,0,2637,2322,67,248,0,0,21.6,1.7,1.0,78.4,69.349856,23.738800000000005,487,0,0,1,0,0,0,0,0,1,0,1,1,0
100,2016-06-30,2016,6,30,0,2637,2314,76,247,151,0,23.5,0.0,1.4,78.3,72.354595,25.55948789706752,446,0,0,1,0,0,0,1,0,0,1,0,1,0
101,2016-07-01,2016,7,1,0,2643,2283,145,215,41,0,23.9,43.1,1.4,84.6,73.578406,25.975460229641563,513,0,0,1,0,1,0,0,0,0,0,1,1,0
102,2016-07-04,2016,7,4,0,2643,2365,88,190,385,0,23.8,0.5,0.6,88.3,73.75634600000001,26.1301277026086,582,0,0,1,0,0,1,0,0,0,0,1,1,0
103,2016-07-05,2016,7,5,0,2643,2362,55,226,376,0,26.5,0.1,1.8,80.9,77.420415,28.641924106860227,551,0,0,1,0,0,0,0,1,0,1,0,1,0
104,2016-07-06,2016,7,6,0,2643,2363,56,224,0,0,26.4,9.3,1.5,78.6,76.987096,28.5647166254854,484,0,0,1,0,0,0,0,0,1,0,1,1,0
105,2016-07-07,2016,7,7,0,2643,2341,64,238,340,0,25.9,0.0,1.0,78.1,76.136321,28.116200000000003,494,0,0,1,0,0,0,1,0,0,0,1,1,0
106,2016-07-08,2016,7,8,0,2643,2228,155,260,60,0,25.5,0.0,1.3,74.9,75.152805,27.655013648396483,534,0,0,1,0,1,0,0,0,0,0,1,1,0
107,2016-07-11,2016,7,11,0,2643,2312,121,210,366,0,24.4,2.2,0.8,84.9,74.43174400000001,26.648662993292213,630,0,0,1,0,0,1,0,0,0,0,1,1,0
108,2016-07-12,2016,7,12,0,2643,2348,72,223,382,0,24.2,4.2,1.0,86.8,74.285144,26.385600000000004,519,0,0,1,0,0,0,0,1,0,1,0,1,0
109,2016-07-13,2016,7,13,0,2643,2323,79,241,0,0,25.8,0.0,0.9,80.1,76.202842,28.033461695938755,483,0,0,1,0,0,0,0,0,1,0,1,1,0
110,2016-07-14,2016,7,14,0,2643,2307,84,252,308,0,26.7,0.0,1.3,67.1,76.068243,28.89701206498807,550,0,0,1,0,0,0,1,0,0,1,0,1,0
111,2016-07-15,2016,7,15,0,2643,2193,189,261,55,0,25.0,0.0,1.3,64.9,73.33205000000001,27.13751430814999,503,0,0,1,0,1,0,0,0,0,0,1,1,0
112,2016-07-18,2016,7,18,0,2643,2309,126,208,343,0,24.3,0.0,0.9,72.6,73.06658200000001,26.51640376702494,596,0,0,1,0,0,1,0,0,0,0,1,1,0
113,2016-07-19,2016,7,19,0,2643,2299,111,233,263,0,24.7,0.0,0.9,74.5,73.87098499999999,26.92095254806862,424,0,0,1,0,0,0,0,1,0,1,0,1,0
114,2016-07-20,2016,7,20,0,2643,2281,124,238,0,0,24.5,0.0,0.9,67.8,72.89448999999999,26.718678157546783,443,0,0,1,0,0,0,0,0,1,0,1,1,0
115,2016-07-21,2016,7,21,0,2643,2273,115,255,263,0,24.3,0.0,1.0,71.8,72.98852600000001,26.487400000000004,446,0,0,1,0,0,0,1,0,0,1,0,1,0
116,2016-07-22,2016,7,22,0,2643,2120,251,272,47,0,24.0,0.0,0.8,75.5,72.8823,26.247025592523165,501,0,0,1,0,1,0,0,0,0,0,1,1,0
117,2016-07-25,2016,7,25,0,2643,2186,277,180,247,0,28.0,28.4,1.2,76.4,79.23288,30.246066904258583,584,0,0,1,0,0,1,0,0,0,0,1,1,0
118,2016-07-26,2016,7,26,0,2643,2198,260,185,269,0,28.0,0.0,1.4,74.5,78.9779,30.23917663852557,582,0,0,1,0,0,0,0,1,0,1,0,1,0
119,2016-07-27,2016,7,27,0,2643,2152,299,192,0,0,28.6,0.0,1.5,71.6,79.500024,30.86278254701586,423,0,0,1,0,0,0,0,0,1,0,1,1,0
120,2016-07-28,2016,7,28,0,2643,2099,340,204,197,0,28.7,0.0,1.6,73.6,79.934168,30.96734585858416,434,0,0,1,0,0,0,1,0,0,1,0,1,0
121,2016-07-29,2016,7,29,0,2643,1950,486,207,36,0,28.6,0.0,1.4,74.6,79.920444,30.86313513738664,472,0,0,1,0,1,0,0,0,0,0,1,1,0
122,2016-08-01,2016,8,1,0,2644,2023,512,109,238,0,26.8,1.6,1.0,73.9,77.047448,29.03240000000001,510,0,0,1,0,0,1,0,0,0,0,1,1,0
123,2016-08-02,2016,8,2,0,2644,2017,460,167,268,0,25.9,10.2,1.0,78.9,76.227049,28.116200000000003,515,0,0,1,0,0,0,0,1,0,0,1,1,0
124,2016-08-03,2016,8,3,0,2644,1976,485,183,0,0,26.1,0.5,0.9,78.3,76.476037,28.33687328172152,363,0,0,1,0,0,0,0,0,1,1,0,1,0
125,2016-08-04,2016,8,4,0,2644,1977,467,200,262,0,27.1,0.0,1.2,73.6,77.47234399999999,29.319303750470063,456,0,0,1,0,0,0,1,0,0,1,0,1,0
126,2016-08-05,2016,8,5,0,2644,1894,538,212,46,0,27.7,0.0,1.2,69.8,77.89685399999999,29.93714585299574,448,0,0,1,0,1,0,0,0,0,0,1,1,0
127,2016-08-08,2016,8,8,0,2644,2043,421,180,255,0,27.5,0.4,1.0,73.0,78.01025,29.745000000000005,480,0,0,1,0,0,1,0,0,0,0,1,1,0
128,2016-08-09,2016,8,9,0,2644,2070,392,182,286,0,27.4,0.0,1.0,73.8,77.959588,29.6432,470,0,0,1,0,0,0,0,1,0,1,0,1,0
129,2016-08-10,2016,8,10,0,2644,2045,411,188,0,0,29.1,0.0,1.1,67.0,79.59203,31.37638387658336,451,0,0,1,0,0,0,0,0,1,0,1,1,0
130,2016-08-11,2016,8,11,0,2644,2029,413,202,295,0,29.9,0.0,1.0,67.1,80.78597099999999,32.1882,530,0,0,1,0,0,0,1,0,0,1,0,1,0
131,2016-08-12,2016,8,12,1,2644,1842,587,215,60,0,30.5,0.0,1.1,66.3,81.543385,32.810113819440474,410,0,0,1,0,1,0,0,0,0,0,1,1,0
132,2016-08-16,2016,8,16,0,2644,2115,352,177,351,0,27.1,0.0,0.8,76.0,77.77304000000001,29.359715448483332,561,0,0,1,0,0,0,0,1,0,1,0,1,0
133,2016-08-17,2016,8,17,0,2644,2142,311,191,0,0,26.8,13.9,0.9,78.3,77.585656,29.04483364854797,465,0,0,1,0,0,0,0,0,1,0,1,1,0
134,2016-08-18,2016,8,18,0,2644,2155,274,215,364,0,27.2,0.0,1.0,71.6,77.373648,29.4396,574,0,0,1,0,0,0,1,0,0,1,0,1,0
135,2016-08-19,2016,8,19,0,2644,2062,345,237,59,0,27.5,0.0,0.9,68.9,77.480325,29.752794015374413,532,0,0,1,0,1,0,0,0,0,0,1,1,0
136,2016-08-22,2016,8,22,0,2644,2370,115,159,458,0,28.4,0.2,1.2,65.3,78.32584800000001,30.657961639275705,729,0,0,1,0,0,1,0,0,0,0,1,1,0
137,2016-08-23,2016,8,23,0,2644,2347,86,211,386,0,26.8,1.1,0.9,73.0,76.93736,29.04483364854797,563,0,0,1,0,0,0,0,1,0,1,0,1,0
138,2016-08-24,2016,8,24,0,2644,2322,113,209,0,0,26.9,0.0,1.3,59.0,75.36429,29.104011801086664,588,0,0,1,0,0,0,0,0,1,0,1,1,0
139,2016-08-25,2016,8,25,0,2644,2280,123,241,308,0,26.6,0.0,1.0,69.0,76.14946,28.828800000000008,508,0,0,1,0,0,0,1,0,0,1,0,1,0
140,2016-08-26,2016,8,26,0,2644,2181,194,269,70,0,22.1,3.8,1.1,80.6,70.309674,24.20773416229779,489,0,0,1,0,1,0,0,0,0,0,1,1,0
141,2016-08-29,2016,8,29,0,2644,2310,132,202,352,0,21.1,0.1,1.8,61.1,67.416879,22.93358994887521,568,0,0,1,0,0,1,0,0,0,0,1,1,0
142,2016-08-30,2016,8,30,0,2644,2306,96,242,268,0,22.0,0.0,2.1,55.1,68.24148,23.812363410319943,514,0,0,1,0,0,0,0,1,0,1,0,1,0
143,2016-08-31,2016,8,31,0,2644,2310,98,236,0,0,24.8,0.0,4.3,43.6,70.857872,26.59243789006944,498,0,0,1,0,0,0,0,0,1,0,1,1,0
144,2016-09-01,2016,9,1,0,2769,2420,99,250,336,0,25.0,20.8,1.8,64.3,73.26935,27.056275729642163,468,1,0,0,0,0,0,1,0,0,1,0,1,0
145,2016-09-02,2016,9,2,0,2769,2313,177,279,76,0,19.2,76.4,0.8,89.8,66.079784,21.427376783294516,460,1,0,0,0,1,0,0,0,0,0,1,1,0
146,2016-09-05,2016,9,5,0,2769,2444,100,225,447,0,24.9,0.5,0.6,82.9,75.04997900000001,27.21569812753347,554,1,0,0,0,0,1,0,0,0,0,1,1,0
147,2016-09-06,2016,9,6,0,2769,2457,59,253,477,0,24.2,0.0,0.7,81.4,73.763612,26.484042879418304,560,1,0,0,0,0,0,0,1,0,1,0,1,0
148,2016-09-07,2016,9,7,0,2769,2463,65,241,0,0,23.6,0.0,0.6,79.5,72.62188,25.932751261713165,504,1,0,0,0,0,0,0,0,1,0,1,1,0
149,2016-09-08,2016,9,8,0,2769,2445,69,255,438,0,23.3,0.0,0.8,68.1,71.143327,25.54416014117732,548,1,0,0,0,0,0,1,0,0,1,0,1,0
150,2016-09-09,2016,9,9,0,2769,2344,137,288,86,0,23.1,0.0,0.8,74.0,71.35206,25.34334144079279,485,1,0,0,0,1,0,0,0,0,0,1,1,0
151,2016-09-12,2016,9,12,0,2769,2265,328,176,306,0,20.3,8.5,0.7,84.9,67.664653,22.59961914954199,504,1,0,0,0,0,1,0,0,0,1,0,1,0
