datetime,worker_number,real_number,biztrip_number,overtime_number,telecom_number,vacation_number
2016-06-08,2637,2339.0,240,0,0.0,58
2016-06-09,2637,2316.0,252,359,0.0,69
2016-06-10,2637,2216.0,270,61,0.0,151
2016-06-13,2637,2330.0,209,415,0.0,98
2016-06-14,2637,2340.0,241,432,0.0,56
2016-06-15,2637,2317.0,260,0,0.0,60
2016-06-16,2637,2301.0,263,336,0.0,73
2016-06-17,2637,2181.0,291,60,0.0,165
2016-06-20,2637,2279.0,257,344,0.0,101
2016-06-21,2637,2340.0,248,349,0.0,49
2016-06-22,2637,2332.0,258,0,0.0,47
2016-06-23,2637,2313.0,271,346,0.0,53
2016-06-24,2637,2184.0,284,52,0.0,169
2016-06-27,2637,2314.0,227,300,0.0,96
2016-06-28,2637,2321.0,253,226,0.0,63
2016-06-29,2637,2322.0,248,0,0.0,67
2016-06-30,2637,2314.0,247,151,0.0,76
2016-07-01,2643,2283.0,215,41,0.0,145
2016-07-04,2643,2365.0,190,385,0.0,88
2016-07-05,2643,2362.0,226,376,0.0,55
2016-07-06,2643,2363.0,224,0,0.0,56
2016-07-07,2643,2341.0,238,340,0.0,64
2016-07-08,2643,2228.0,260,60,0.0,155
2016-07-11,2643,2312.0,210,366,0.0,121
2016-07-12,2643,2348.0,223,382,0.0,72
2016-07-13,2643,2323.0,241,0,0.0,79
2016-07-14,2643,2307.0,252,308,0.0,84
2016-07-15,2643,2193.0,261,55,0.0,189
2016-07-18,2643,2309.0,208,343,0.0,126
2016-07-19,2643,2299.0,233,263,0.0,111
2016-07-20,2643,2281.0,238,0,0.0,124
2016-07-21,2643,2273.0,255,263,0.0,115
2016-07-22,2643,2120.0,272,47,0.0,251
2016-07-25,2643,2186.0,180,247,0.0,277
2016-07-26,2643,2198.0,185,269,0.0,260
2016-07-27,2643,2152.0,192,0,0.0,299
2016-07-28,2643,2099.0,204,197,0.0,340
2016-07-29,2643,1950.0,207,36,0.0,486
2016-08-01,2644,2023.0,109,238,0.0,512
2016-08-02,2644,2017.0,167,268,0.0,460
2016-08-03,2644,1976.0,183,0,0.0,485
2016-08-04,2644,1977.0,200,262,0.0,467
2016-08-05,2644,1894.0,212,46,0.0,538
2016-08-08,2644,2043.0,180,255,0.0,421
2016-08-09,2644,2070.0,182,286,0.0,392
2016-08-10,2644,2045.0,188,0,0.0,411
2016-08-11,2644,2029.0,202,295,0.0,413
2016-08-12,2644,1842.0,215,60,0.0,587
2016-08-16,2644,2115.0,177,351,0.0,352
2016-08-17,2644,2142.0,191,0,0.0,311
2016-08-18,2644,2155.0,215,364,0.0,274
2016-08-19,2644,2062.0,237,59,0.0,345
2016-08-22,2644,2370.0,159,458,0.0,115
2016-08-23,2644,2347.0,211,386,0.0,86
2016-08-24,2644,2322.0,209,0,0.0,113
2016-08-25,2644,2280.0,241,308,0.0,123
2016-08-26,2644,2181.0,269,70,0.0,194
2016-08-29,2644,2310.0,202,352,0.0,132
2016-08-30,2644,2306.0,242,268,0.0,96
2016-08-31,2644,2310.0,236,0,0.0,98
2016-09-01,2769,2420.0,250,336,0.0,99
2016-09-02,2769,2313.0,279,76,0.0,177
2016-09-05,2769,2444.0,225,447,0.0,100
2016-09-06,2769,2457.0,253,477,0.0,59
2016-09-07,2769,2463.0,241,0,0.0,65
2016-09-08,2769,2445.0,255,438,0.0,69
2016-09-09,2769,2344.0,288,86,0.0,137
2016-09-12,2769,2265.0,176,306,0.0,328
2016-09-13,2769,2150.0,108,52,0.0,511
2016-09-19,2769,2422.0,180,550,0.0,167
2016-09-20,2769,2473.0,227,588,0.0,69
2016-09-21,2769,2465.0,246,0,0.0,58
2016-09-22,2769,2379.0,253,403,0.0,137
2016-09-23,2769,2326.0,278,99,0.0,165
2016-09-26,2769,2475.0,224,494,0.0,70
2016-09-27,2769,2480.0,233,380,0.0,56
2016-09-28,2769,2494.0,225,0,0.0,50
2016-09-29,2769,2389.0,227,331,0.0,153
2016-09-30,2769,2355.0,256,59,0.0,158
2016-10-04,2670,2372.0,239,1035,0.0,59
2016-10-05,2670,2401.0,228,0,0.0,41
2016-10-06,2670,2369.0,245,378,0.0,56
2016-10-07,2670,2274.0,252,80,0.0,144
2016-10-10,2670,2350.0,216,443,0.0,104
2016-10-11,2670,2345.0,256,386,0.0,69
2016-10-12,2670,2355.0,251,0,0.0,64
2016-10-13,2670,2342.0,262,612,0.0,66
2016-10-14,2670,2261.0,265,172,0.0,144
2016-10-17,2670,2322.0,241,425,0.0,107
2016-10-18,2670,2355.0,262,394,0.0,53
2016-10-19,2670,2331.0,267,0,0.0,72
2016-10-20,2670,2296.0,269,281,0.0,105
2016-10-21,2670,2162.0,280,62,0.0,228
2016-10-24,2670,2327.0,223,367,0.0,120
2016-10-25,2670,2338.0,259,345,0.0,73
2016-10-26,2670,2323.0,258,0,0.0,89
2016-10-27,2670,2304.0,272,240,0.0,94
2016-10-28,2670,2201.0,277,63,0.0,192
2016-10-31,2670,2313.0,223,255,0.0,134
2016-11-01,2689,2407.0,212,515,0.0,70
2016-11-02,2689,2385.0,231,0,0.0,73
2016-11-03,2689,2334.0,283,408,0.0,72
2016-11-04,2689,2245.0,276,81,0.0,168
2016-11-07,2689,2334.0,222,539,0.0,133
2016-11-08,2689,2379.0,250,503,0.0,60
2016-11-09,2689,2364.0,267,0,0.0,58
2016-11-10,2689,2349.0,267,385,0.0,73
2016-11-11,2689,2230.0,286,69,0.0,173
2016-11-14,2689,2370.0,227,461,0.0,92
2016-11-15,2689,2350.0,273,418,0.0,66
2016-11-16,2689,2379.0,250,0,0.0,60
2016-11-17,2689,2292.0,263,411,0.0,134
2016-11-18,2689,2183.0,287,57,0.0,219
2016-11-21,2689,2393.0,202,522,0.0,94
2016-11-22,2689,2406.0,238,452,0.0,45
2016-11-23,2689,2386.0,251,0,0.0,52
2016-11-24,2689,2366.0,262,351,0.0,61
2016-11-25,2689,2210.0,279,68,0.0,200
2016-11-28,2689,2356.0,219,397,0.0,114
2016-11-29,2689,2387.0,218,388,0.0,84
2016-11-30,2689,2414.0,207,0,0.0,68
2016-12-01,2705,2378.0,243,688,0.0,84
2016-12-02,2705,2250.0,272,152,0.0,183
2016-12-05,2705,2397.0,207,839,0.0,101
2016-12-06,2705,2414.0,222,799,0.0,69
2016-12-07,2705,2404.0,232,0,0.0,69
2016-12-08,2705,2367.0,262,587,0.0,76
2016-12-09,2705,2225.0,284,152,0.0,196
2016-12-12,2705,2410.0,193,633,0.0,102
2016-12-13,2705,2414.0,226,511,0.0,65
2016-12-14,2705,2376.0,247,0,0.0,82
2016-12-15,2705,2373.0,234,229,0.0,98
2016-12-16,2705,2276.0,262,37,0.0,167
2016-12-19,2705,2384.0,217,197,0.0,104
2016-12-20,2705,2378.0,238,126,0.0,89
2016-12-21,2705,2403.0,230,0,0.0,72
2016-12-22,2705,2345.0,242,32,0.0,118
2016-12-23,2705,2119.0,243,7,0.0,343
2016-12-26,2705,2305.0,194,63,0.0,206
2016-12-27,2705,2342.0,236,51,0.0,127
2016-12-28,2705,2314.0,225,0,0.0,166
2016-12-29,2705,2262.0,201,42,0.0,242
2016-12-30,2705,2049.0,127,3,0.0,529
2017-01-02,2697,2499.0,102,272,0.0,96
2017-01-03,2697,2478.0,158,259,0.0,61
2017-01-04,2697,2460.0,170,0,0.0,67
2017-01-05,2697,2411.0,207,316,0.0,79
2017-01-06,2697,2284.0,224,74,0.0,189
2017-01-09,2697,2410.0,166,445,0.0,121
2017-01-10,2697,2428.0,199,412,0.0,70
2017-01-11,2697,2417.0,223,0,0.0,57
2017-01-12,2697,2374.0,238,305,0.0,85
2017-01-13,2697,2259.0,247,62,0.0,191
2017-01-16,2697,2378.0,196,432,0.0,123
2017-01-17,2697,2407.0,215,380,0.0,75
2017-01-18,2697,2398.0,240,0,0.0,59
2017-01-19,2697,2368.0,236,334,0.0,93
2017-01-20,2697,2223.0,267,61,0.0,207
2017-01-23,2697,2387.0,202,396,0.0,108
2017-01-24,2697,2416.0,218,273,0.0,63
2017-01-25,2697,2415.0,203,0,0.0,79
2017-01-26,2697,2211.0,117,28,0.0,369
2017-01-31,2697,2462.0,58,278,0.0,177
2017-02-01,2632,2392.0,179,0,0.0,61
2017-02-02,2632,2370.0,217,427,0.0,45
2017-02-03,2632,2275.0,253,92,0.0,104
2017-02-06,2632,2381.0,202,610,0.0,49
2017-02-07,2632,2385.0,207,565,0.0,40
2017-02-08,2632,2374.0,206,0,0.0,52
2017-02-09,2632,2340.0,227,377,0.0,65
2017-02-10,2632,2199.0,284,59,0.0,149
2017-02-13,2632,2375.0,196,505,0.0,61
2017-02-14,2632,2356.0,223,444,0.0,53
2017-02-15,2632,2348.0,233,0,0.0,51
2017-02-16,2632,2336.0,240,419,0.0,56
2017-02-17,2632,2219.0,269,73,0.0,144
2017-02-20,2632,2329.0,199,494,0.0,104
2017-02-21,2632,2343.0,226,445,0.0,63
2017-02-22,2632,2305.0,252,0,0.0,75
2017-02-23,2632,2285.0,272,307,0.0,75
2017-02-24,2632,2167.0,291,63,0.0,174
2017-02-27,2632,2317.0,181,368,0.0,134
2017-02-28,2632,2273.0,203,179,0.0,156
2017-03-02,2627,2222.0,215,428,0.0,190
2017-03-03,2627,2197.0,256,70,0.0,174
2017-03-06,2627,2363.0,201,490,0.0,63
2017-03-07,2627,2372.0,214,455,0.0,41
2017-03-08,2627,2348.0,233,0,0.0,46
2017-03-09,2627,2318.0,254,346,0.0,55
2017-03-10,2627,2191.0,291,63,0.0,145
2017-03-13,2627,2334.0,211,449,0.0,82
2017-03-14,2627,2351.0,230,437,0.0,46
2017-03-15,2627,2353.0,234,0,0.0,40
2017-03-16,2627,2321.0,259,357,0.0,47
2017-03-17,2627,2199.0,299,59,0.0,129
2017-03-20,2627,2334.0,207,390,0.0,86
2017-03-21,2627,2350.0,222,454,0.0,55
2017-03-22,2627,2339.0,235,0,0.0,53
2017-03-23,2627,2320.0,245,321,0.0,62
2017-03-24,2627,2167.0,279,50,0.0,181
2017-03-27,2627,2280.0,242,360,0.0,105
2017-03-28,2627,2335.0,248,368,0.0,44
2017-03-29,2627,2348.0,237,0,0.0,42
2017-03-30,2627,2282.0,278,223,0.0,67
2017-03-31,2627,2184.0,296,45,0.0,147
2017-04-03,2626,2347.0,198,465,0.0,81
2017-04-04,2626,2360.0,212,418,0.0,54
2017-04-05,2626,2312.0,251,0,0.0,63
2017-04-06,2626,2290.0,271,317,0.0,65
2017-04-07,2626,2184.0,291,67,0.0,151
2017-04-10,2626,2316.0,229,418,0.0,81
2017-04-11,2626,2348.0,234,440,0.0,44
2017-04-12,2626,2344.0,241,0,0.0,41
2017-04-13,2626,2295.0,270,318,0.0,61
2017-04-14,2626,2206.0,298,55,0.0,122
2017-04-17,2626,2324.0,220,434,0.0,82
2017-04-18,2626,2325.0,244,405,0.0,57
2017-04-19,2626,2334.0,256,0,0.0,36
2017-04-20,2626,2294.0,288,284,0.0,44
2017-04-21,2626,2182.0,307,59,0.0,137
2017-04-24,2626,2290.0,260,373,0.0,76
2017-04-25,2626,2269.0,288,336,0.0,69
2017-04-26,2626,2277.0,304,0,0.0,45
2017-04-27,2626,2254.0,311,183,0.0,61
2017-04-28,2626,2155.0,310,44,0.0,161
2017-05-02,2637,1581.0,123,88,0.0,933
2017-05-04,2637,1372.0,41,45,0.0,1224
2017-05-08,2637,1792.0,130,151,0.0,715
2017-05-10,2637,2346.0,223,0,0.0,68
2017-05-11,2637,2316.0,264,471,0.0,57
2017-05-12,2637,2235.0,289,96,0.0,113
2017-05-15,2637,2350.0,224,516,0.0,63
2017-05-16,2637,2330.0,266,486,0.0,41
2017-05-17,2637,2323.0,268,0,0.0,46
2017-05-18,2637,2290.0,287,343,0.0,60
2017-05-19,2637,2186.0,305,81,0.0,146
2017-05-22,2637,2334.0,240,504,0.0,63
2017-05-23,2637,2333.0,257,429,0.0,47
2017-05-24,2637,2311.0,277,0,0.0,49
2017-05-25,2637,2290.0,290,320,0.0,57
2017-05-26,2637,2171.0,302,60,0.0,164
2017-05-29,2637,2309.0,240,394,0.0,88
2017-05-30,2637,2324.0,256,293,0.0,57
2017-05-31,2637,2329.0,265,0,0.0,43
2017-06-01,2648,2317.0,265,317,0.0,66
2017-06-02,2648,2190.0,293,77,0.0,165
2017-06-05,2648,1865.0,150,174,0.0,633
2017-06-07,2648,2345.0,228,0,0.0,75
2017-06-08,2648,2311.0,274,423,0.0,63
2017-06-09,2648,2224.0,294,67,0.0,130
2017-06-12,2648,2352.0,209,529,0.0,87
2017-06-13,2648,2367.0,234,451,0.0,47
2017-06-14,2648,2340.0,253,0,0.0,55
2017-06-15,2648,2316.0,268,318,0.0,64
2017-06-16,2648,2179.0,305,62,0.0,164
2017-06-19,2648,2320.0,226,455,0.0,102
2017-06-20,2648,2329.0,253,429,0.0,66
2017-06-21,2648,2319.0,269,0,0.0,60
2017-06-22,2648,2306.0,273,317,0.0,69
2017-06-23,2648,2196.0,290,57,0.0,162
2017-06-26,2648,2299.0,237,374,0.0,112
2017-06-27,2648,2333.0,256,309,0.0,59
2017-06-28,2648,2331.0,259,0,0.0,58
2017-06-29,2648,2316.0,266,209,0.0,66
2017-06-30,2648,2164.0,296,34,0.0,188
2017-07-03,2839,2559.0,214,414,0.0,66
2017-07-04,2839,2542.0,247,368,0.0,50
2017-07-05,2839,2533.0,260,0,0.0,46
2017-07-06,2839,2499.0,268,341,0.0,72
2017-07-07,2839,2405.0,288,73,0.0,146
2017-07-10,2839,2526.0,215,406,0.0,98
2017-07-11,2839,2545.0,232,380,0.0,62
2017-07-12,2839,2507.0,263,0,0.0,69
2017-07-13,2839,2483.0,277,311,0.0,79
2017-07-14,2839,2344.0,286,57,0.0,209
2017-07-17,2839,2495.0,212,424,0.0,132
2017-07-18,2839,2502.0,239,419,0.0,98
2017-07-19,2839,2501.0,259,0,0.0,79
2017-07-20,2839,2471.0,278,270,0.0,90
2017-07-21,2839,2332.0,301,46,0.0,206
2017-07-24,2839,2391.0,211,401,0.0,237
2017-07-25,2839,2382.0,243,272,0.0,214
2017-07-26,2839,2339.0,246,0,0.0,254
2017-07-27,2839,2265.0,240,221,0.0,334
2017-07-28,2839,2156.0,264,46,0.0,419
2017-07-31,2839,2159.0,156,192,0.0,524
2017-08-01,2645,1998.0,181,320,0.0,466
2017-08-02,2645,2003.0,188,0,0.0,454
2017-08-03,2645,1987.0,207,301,0.0,451
2017-08-04,2645,1863.0,238,55,0.0,544
2017-08-07,2645,2049.0,168,351,0.0,428
2017-08-08,2645,2024.0,207,350,0.0,414
2017-08-09,2645,2007.0,210,0,0.0,428
2017-08-10,2645,1979.0,228,292,0.0,438
2017-08-11,2645,1839.0,240,66,0.0,566
2017-08-14,2645,1651.0,131,114,0.0,863
2017-08-16,2645,2062.0,180,0,0.0,403
2017-08-17,2645,2067.0,221,380,0.0,357
2017-08-18,2645,1977.0,272,61,0.0,396
2017-08-21,2645,2402.0,169,618,0.0,74
2017-08-22,2645,2358.0,213,484,0.0,74
2017-08-23,2645,2358.0,215,0,0.0,72
2017-08-24,2645,2308.0,259,344,0.0,78
2017-08-25,2645,2171.0,310,55,0.0,164
2017-08-28,2645,2251.0,225,337,0.0,169
2017-08-29,2645,2264.0,260,294,0.0,121
2017-08-30,2645,2259.0,270,0,0.0,116
2017-08-31,2645,2254.0,281,189,0.0,110
2017-09-01,2642,2162.0,303,45,0.0,177
2017-09-04,2642,2286.0,243,416,0.0,113
2017-09-05,2642,2303.0,265,390,0.0,74
2017-09-06,2642,2298.0,275,0,0.0,69
2017-09-07,2642,2285.0,279,358,0.0,78
2017-09-08,2642,2182.0,305,66,0.0,155
2017-09-11,2642,2338.0,203,478,0.0,101
2017-09-12,2642,2328.0,242,430,0.0,72
2017-09-13,2642,2332.0,253,0,0.0,57
2017-09-14,2642,2283.0,291,317,0.0,68
2017-09-15,2642,2154.0,290,70,0.0,198
2017-09-18,2642,2329.0,220,501,0.0,93
2017-09-19,2642,2347.0,246,432,0.0,49
2017-09-20,2642,2301.0,279,0,0.0,62
2017-09-21,2642,2292.0,280,334,0.0,70
2017-09-22,2642,2177.0,291,67,0.0,174
2017-09-25,2642,2287.0,258,385,0.0,97
2017-09-26,2642,2300.0,261,342,0.0,81
2017-09-27,2642,2307.0,265,0,0.0,70
2017-09-28,2642,2277.0,263,202,0.0,102
2017-09-29,2642,2180.0,248,22,0.0,214
2017-10-10,2645,2331.0,209,641,0.0,105
2017-10-11,2645,2335.0,250,0,0.0,60
2017-10-12,2645,2330.0,269,1017,0.0,46
2017-10-13,2645,2314.0,268,86,0.0,63
2017-10-16,2645,2330.0,225,464,0.0,90
2017-10-17,2645,2331.0,258,453,0.0,56
2017-10-18,2645,2330.0,270,0,0.0,45
2017-10-19,2645,2296.0,282,341,0.0,67
2017-10-20,2645,2154.0,301,53,0.0,190
2017-10-23,2645,2279.0,250,435,0.0,116
2017-10-24,2645,2322.0,258,400,0.0,65
2017-10-25,2645,2281.0,289,0,0.0,75
2017-10-26,2645,2242.0,302,251,0.0,101
2017-10-27,2645,2126.0,309,57,0.0,210
2017-10-30,2645,2271.0,250,374,0.0,124
2017-10-31,2645,2292.0,290,238,0.0,63
2017-11-01,2644,2302.0,279,0,0.0,63
2017-11-02,2644,2287.0,304,333,0.0,53
2017-11-03,2644,2167.0,304,58,0.0,173
2017-11-06,2644,2307.0,244,452,0.0,93
2017-11-07,2644,2301.0,268,462,0.0,75
2017-11-08,2644,2308.0,276,0,0.0,60
2017-11-09,2644,2267.0,287,347,0.0,90
2017-11-10,2644,2168.0,292,56,0.0,184
2017-11-13,2644,2297.0,240,525,0.0,107
2017-11-14,2644,2297.0,269,388,0.0,78
2017-11-15,2644,2281.0,276,0,0.0,87
2017-11-16,2644,2232.0,283,347,0.0,129
2017-11-17,2644,2120.0,311,58,0.0,213
2017-11-20,2644,2300.0,237,517,0.0,107
2017-11-21,2644,2311.0,256,435,0.0,77
2017-11-22,2644,2303.0,277,0,0.0,64
2017-11-23,2644,2234.0,288,305,0.0,122
2017-11-24,2644,2131.0,303,63,0.0,210
2017-11-27,2644,2250.0,262,402,0.0,132
2017-11-28,2644,2267.0,265,347,0.0,112
2017-11-29,2644,2305.0,261,0,0.0,78
2017-11-30,2644,2280.0,267,256,0.0,97
2017-12-01,2665,2154.0,268,136,0.0,243
2017-12-04,2665,2342.0,206,868,0.0,117
2017-12-05,2665,2380.0,225,871,0.0,60
2017-12-06,2665,2333.0,254,0,0.0,78
2017-12-07,2665,2297.0,270,608,0.0,98
2017-12-08,2665,2192.0,304,141,0.0,169
2017-12-11,2665,2353.0,219,748,0.0,93
2017-12-12,2665,2355.0,237,604,0.0,73
2017-12-13,2665,2352.0,246,0,0.0,67
2017-12-14,2665,2294.0,266,309,0.0,105
2017-12-15,2665,2169.0,288,48,0.0,208
2017-12-18,2665,2295.0,230,156,0.0,140
2017-12-19,2665,2287.0,269,146,0.0,109
2017-12-20,2665,2295.0,262,0,0.0,108
2017-12-21,2665,2276.0,262,102,0.0,127
2017-12-22,2665,2156.0,270,34,0.0,239
2017-12-26,2665,2171.0,227,62,0.0,267
2017-12-27,2665,2241.0,255,0,0.0,169
2017-12-28,2665,2165.0,260,55,0.0,240
2017-12-29,2665,1934.0,242,5,0.0,489
2018-01-02,2655,2480.0,102,301,0.0,73
2018-01-03,2655,2388.0,207,0,0.0,60
2018-01-04,2655,2362.0,226,326,0.0,67
2018-01-05,2655,2257.0,246,58,0.0,152
2018-01-08,2655,2361.0,194,377,0.0,100
2018-01-09,2655,2370.0,215,298,0.0,70
2018-01-10,2655,2387.0,210,0,0.0,58
2018-01-11,2655,2344.0,238,337,0.0,73
2018-01-12,2655,2226.0,266,59,0.0,163
2018-01-15,2655,2351.0,192,443,0.0,112
2018-01-16,2655,2366.0,216,405,0.0,73
2018-01-17,2655,2362.0,223,0,0.0,70
2018-01-18,2655,2324.0,233,325,0.0,98
2018-01-19,2655,2156.0,275,77,0.0,224
2018-01-22,2655,2341.0,211,371,0.0,103
2018-01-23,2655,2359.0,230,297,0.0,66
2018-01-24,2655,2380.0,224,0,0.0,51
2018-01-25,2655,2373.0,225,261,0.0,57
2018-01-26,2655,2227.0,262,43,0.0,166
2018-01-29,2655,2393.0,192,454,0.0,70
2018-01-30,2655,2379.0,216,433,0.0,60
2018-01-31,2655,2376.0,223,0,0.0,56
2018-02-01,2707,2380.0,254,401,0.0,73
2018-02-02,2707,2276.0,278,88,0.0,153
2018-02-05,2707,2418.0,213,560,0.0,76
2018-02-06,2707,2422.0,235,491,0.0,50
2018-02-07,2707,2395.0,253,0,0.0,59
2018-02-08,2707,2363.0,273,378,0.0,71
2018-02-09,2707,2262.0,296,86,0.0,149
2018-02-12,2707,2360.0,244,476,0.0,103
2018-02-13,2707,2366.0,235,371,0.0,106
2018-02-14,2707,2130.0,159,0,0.0,418
2018-02-19,2707,2281.0,171,604,0.0,255
2018-02-20,2707,2394.0,231,521,0.0,82
2018-02-21,2707,2390.0,243,0,0.0,74
2018-02-22,2707,2348.0,277,400,0.0,82
2018-02-23,2707,2242.0,304,69,0.0,161
2018-02-26,2707,2371.0,231,491,0.0,105
2018-02-27,2707,2363.0,263,332,0.0,81
2018-02-28,2707,2295.0,278,0,0.0,134
2018-03-02,2714,1668.0,206,57,0.0,840
2018-03-05,2714,2411.0,211,593,0.0,92
2018-03-06,2714,2418.0,242,547,0.0,54
2018-03-07,2714,2435.0,238,0,0.0,41
2018-03-08,2714,2408.0,268,406,0.0,38
2018-03-09,2714,2297.0,294,77,0.0,123
2018-03-12,2714,2428.0,217,591,0.0,69
2018-03-13,2714,2426.0,249,556,0.0,39
2018-03-14,2714,2413.0,245,0,0.0,56
2018-03-15,2714,2397.0,270,359,0.0,47
2018-03-16,2714,2277.0,302,75,0.0,135
2018-03-19,2714,2410.0,224,503,0.0,80
2018-03-20,2714,2422.0,246,445,0.0,46
2018-03-21,2714,2406.0,263,0,0.0,45
2018-03-22,2714,2368.0,290,327,0.0,56
2018-03-23,2714,2233.0,307,51,0.0,174
2018-03-26,2714,2363.0,226,448,0.0,125
2018-03-27,2714,2404.0,258,408,0.0,52
2018-03-28,2714,2417.0,252,0,0.0,45
2018-03-29,2714,2390.0,273,302,0.0,51
2018-03-30,2714,2222.0,296,43,0.0,196
2018-04-02,2714,2407.0,224,481,0.0,83
2018-04-03,2714,2392.0,266,438,0.0,56
2018-04-04,2714,2383.0,267,0,0.0,64
2018-04-05,2714,2360.0,285,378,0.0,69
2018-04-06,2714,2199.0,295,49,0.0,220
2018-04-09,2714,2375.0,221,523,0.0,118
2018-04-10,2714,2392.0,256,420,0.0,66
2018-04-11,2714,2452.0,239,0,0.0,23
2018-04-12,2714,2406.0,268,384,0.0,40
2018-04-13,2714,2258.0,292,45,0.0,164
2018-04-16,2714,2396.0,234,484,0.0,84
2018-04-17,2714,2414.0,261,413,0.0,39
2018-04-18,2714,2397.0,268,0,0.0,49
2018-04-19,2714,2328.0,288,285,0.0,98
2018-04-20,2714,2217.0,303,42,0.0,194
2018-04-23,2714,2390.0,235,440,0.0,89
2018-04-24,2714,2380.0,274,360,0.0,60
2018-04-25,2714,2363.0,285,0,0.0,66
2018-04-26,2714,2352.0,293,266,0.0,69
2018-04-27,2714,2205.0,304,40,0.0,205
2018-04-30,2714,1888.0,180,107,0.0,646
2018-05-02,2721,2364.0,247,0,0.0,110
2018-05-03,2721,2323.0,296,332,0.0,102
2018-05-04,2721,2196.0,284,57,0.0,241
