datetime,year,month,date,weekdays,season,vacation
2016-10-12,2016,10,12,wednesday,fall,0
2016-10-13,2016,10,13,thursday,fall,0
2016-10-14,2016,10,14,friday,fall,0
2016-10-17,2016,10,17,monday,fall,0
2016-10-18,2016,10,18,tuesday,fall,0
2016-10-19,2016,10,19,wednesday,fall,0
2016-10-20,2016,10,20,thursday,fall,0
2016-10-21,2016,10,21,friday,fall,0
2016-10-24,2016,10,24,monday,fall,0
2016-10-25,2016,10,25,tuesday,fall,0
2016-10-26,2016,10,26,wednesday,fall,0
2016-10-27,2016,10,27,thursday,fall,0
2016-10-28,2016,10,28,friday,fall,0
2016-10-31,2016,10,31,monday,fall,0
2016-11-01,2016,11,01,tuesday,fall,0
2016-11-02,2016,11,02,wednesday,fall,0
2016-11-03,2016,11,03,thursday,fall,0
2016-11-04,2016,11,04,friday,fall,0
2016-11-07,2016,11,07,monday,fall,0
2016-11-08,2016,11,08,tuesday,fall,0
2016-11-09,2016,11,09,wednesday,fall,0
2016-11-10,2016,11,10,thursday,fall,0
2016-11-11,2016,11,11,friday,fall,0
2016-11-14,2016,11,14,monday,fall,0
2016-11-15,2016,11,15,tuesday,fall,0
2016-11-16,2016,11,16,wednesday,fall,0
2016-11-17,2016,11,17,thursday,fall,0
2016-11-18,2016,11,18,friday,fall,0
2016-11-21,2016,11,21,monday,fall,0
2016-11-22,2016,11,22,tuesday,fall,0
2016-11-23,2016,11,23,wednesday,fall,0
2016-11-24,2016,11,24,thursday,fall,0
2016-11-25,2016,11,25,friday,fall,0
2016-11-28,2016,11,28,monday,fall,0
2016-11-29,2016,11,29,tuesday,fall,0
2016-11-30,2016,11,30,wednesday,fall,0
2016-12-01,2016,12,01,thursday,winter,0
2016-12-02,2016,12,02,friday,winter,0
2016-12-05,2016,12,05,monday,winter,0
2016-12-06,2016,12,06,tuesday,winter,0
2016-12-07,2016,12,07,wednesday,winter,0
2016-12-08,2016,12,08,thursday,winter,0
2016-12-09,2016,12,09,friday,winter,0
2016-12-12,2016,12,12,monday,winter,0
2016-12-13,2016,12,13,tuesday,winter,0
2016-12-14,2016,12,14,wednesday,winter,0
2016-12-15,2016,12,15,thursday,winter,0
2016-12-16,2016,12,16,friday,winter,0
2016-12-19,2016,12,19,monday,winter,0
2016-12-20,2016,12,20,tuesday,winter,0
2016-12-21,2016,12,21,wednesday,winter,0
2016-12-22,2016,12,22,thursday,winter,0
2016-12-23,2016,12,23,friday,winter,0
2016-12-26,2016,12,26,monday,winter,0
2016-12-27,2016,12,27,tuesday,winter,0
2016-12-28,2016,12,28,wednesday,winter,0
2016-12-29,2016,12,29,thursday,winter,0
2016-12-30,2016,12,30,friday,winter,0
2017-01-02,2017,01,02,monday,winter,0
2017-01-03,2017,01,03,tuesday,winter,0
2017-01-04,2017,01,04,wednesday,winter,0
2017-01-05,2017,01,05,thursday,winter,0
2017-01-06,2017,01,06,friday,winter,0
2017-01-09,2017,01,09,monday,winter,0
2017-01-10,2017,01,10,tuesday,winter,0
2017-01-11,2017,01,11,wednesday,winter,0
2017-01-12,2017,01,12,thursday,winter,0
2017-01-13,2017,01,13,friday,winter,0
2017-01-16,2017,01,16,monday,winter,0
2017-01-17,2017,01,17,tuesday,winter,0
2017-01-18,2017,01,18,wednesday,winter,0
2017-01-19,2017,01,19,thursday,winter,0
2017-01-20,2017,01,20,friday,winter,0
2017-01-23,2017,01,23,monday,winter,0
2017-01-24,2017,01,24,tuesday,winter,0
2017-01-25,2017,01,25,wednesday,winter,0
2017-01-26,2017,01,26,thursday,winter,1
2017-01-31,2017,01,31,tuesday,winter,0
2017-02-01,2017,02,01,wednesday,winter,0
2017-02-02,2017,02,02,thursday,winter,0
2017-02-03,2017,02,03,friday,winter,0
2017-02-06,2017,02,06,monday,winter,0
2017-02-07,2017,02,07,tuesday,winter,0
2017-02-08,2017,02,08,wednesday,winter,0
2017-02-09,2017,02,09,thursday,winter,0
2017-02-10,2017,02,10,friday,winter,0
2017-02-13,2017,02,13,monday,winter,0
2017-02-14,2017,02,14,tuesday,winter,0
2017-02-15,2017,02,15,wednesday,winter,0
2017-02-16,2017,02,16,thursday,winter,0
2017-02-17,2017,02,17,friday,winter,0
2017-02-20,2017,02,20,monday,winter,0
2017-02-21,2017,02,21,tuesday,winter,0
2017-02-22,2017,02,22,wednesday,winter,0
2017-02-23,2017,02,23,thursday,winter,0
2017-02-24,2017,02,24,friday,winter,0
2017-02-27,2017,02,27,monday,winter,0
2017-02-28,2017,02,28,tuesday,winter,1
2017-03-02,2017,03,02,thursday,spring,0
2017-03-03,2017,03,03,friday,spring,0
2017-03-06,2017,03,06,monday,spring,0
2017-03-07,2017,03,07,tuesday,spring,0
2017-03-08,2017,03,08,wednesday,spring,0
2017-03-09,2017,03,09,thursday,spring,0
2017-03-10,2017,03,10,friday,spring,0
2017-03-13,2017,03,13,monday,spring,0
2017-03-14,2017,03,14,tuesday,spring,0
2017-03-15,2017,03,15,wednesday,spring,0
2017-03-16,2017,03,16,thursday,spring,0
2017-03-17,2017,03,17,friday,spring,0
2017-03-20,2017,03,20,monday,spring,0
2017-03-21,2017,03,21,tuesday,spring,0
2017-03-22,2017,03,22,wednesday,spring,0
2017-03-23,2017,03,23,thursday,spring,0
2017-03-24,2017,03,24,friday,spring,0
2017-03-27,2017,03,27,monday,spring,0
2017-03-28,2017,03,28,tuesday,spring,0
2017-03-29,2017,03,29,wednesday,spring,0
2017-03-30,2017,03,30,thursday,spring,0
2017-03-31,2017,03,31,friday,spring,0
2017-04-03,2017,04,03,monday,spring,0
2017-04-04,2017,04,04,tuesday,spring,0
2017-04-05,2017,04,05,wednesday,spring,0
2017-04-06,2017,04,06,thursday,spring,0
2017-04-07,2017,04,07,friday,spring,0
2017-04-10,2017,04,10,monday,spring,0
2017-04-11,2017,04,11,tuesday,spring,0
2017-04-12,2017,04,12,wednesday,spring,0
2017-04-13,2017,04,13,thursday,spring,0
2017-04-14,2017,04,14,friday,spring,0
2017-04-17,2017,04,17,monday,spring,0
2017-04-18,2017,04,18,tuesday,spring,0
2017-04-19,2017,04,19,wednesday,spring,0
2017-04-20,2017,04,20,thursday,spring,0
2017-04-21,2017,04,21,friday,spring,0
2017-04-24,2017,04,24,monday,spring,0
2017-04-25,2017,04,25,tuesday,spring,0
2017-04-26,2017,04,26,wednesday,spring,0
2017-04-27,2017,04,27,thursday,spring,0
2017-04-28,2017,04,28,friday,spring,1
2017-05-02,2017,05,02,tuesday,spring,1
2017-05-04,2017,05,04,thursday,spring,1
2017-05-08,2017,05,08,monday,spring,1
2017-05-10,2017,05,10,wednesday,spring,0
2017-05-11,2017,05,11,thursday,spring,0
2017-05-12,2017,05,12,friday,spring,0
2017-05-15,2017,05,15,monday,spring,0
2017-05-16,2017,05,16,tuesday,spring,0
2017-05-17,2017,05,17,wednesday,spring,0
2017-05-18,2017,05,18,thursday,spring,0
2017-05-19,2017,05,19,friday,spring,0
2017-05-22,2017,05,22,monday,spring,0
2017-05-23,2017,05,23,tuesday,spring,0
2017-05-24,2017,05,24,wednesday,spring,0
2017-05-25,2017,05,25,thursday,spring,0
2017-05-26,2017,05,26,friday,spring,0
2017-05-29,2017,05,29,monday,spring,0
2017-05-30,2017,05,30,tuesday,spring,0
2017-05-31,2017,05,31,wednesday,spring,0
2017-06-01,2017,06,01,thursday,summer,0
2017-06-02,2017,06,02,friday,summer,0
2017-06-05,2017,06,05,monday,summer,1
2017-06-07,2017,06,07,wednesday,summer,0
2017-06-08,2017,06,08,thursday,summer,0
2017-06-09,2017,06,09,friday,summer,0
2017-06-12,2017,06,12,monday,summer,0
2017-06-13,2017,06,13,tuesday,summer,0
2017-06-14,2017,06,14,wednesday,summer,0
2017-06-15,2017,06,15,thursday,summer,0
2017-06-16,2017,06,16,friday,summer,0
2017-06-19,2017,06,19,monday,summer,0
2017-06-20,2017,06,20,tuesday,summer,0
2017-06-21,2017,06,21,wednesday,summer,0
2017-06-22,2017,06,22,thursday,summer,0
2017-06-23,2017,06,23,friday,summer,0
2017-06-26,2017,06,26,monday,summer,0
2017-06-27,2017,06,27,tuesday,summer,0
2017-06-28,2017,06,28,wednesday,summer,0
2017-06-29,2017,06,29,thursday,summer,0
2017-06-30,2017,06,30,friday,summer,0
2017-07-03,2017,07,03,monday,summer,0
2017-07-04,2017,07,04,tuesday,summer,0
2017-07-05,2017,07,05,wednesday,summer,0
2017-07-06,2017,07,06,thursday,summer,0
2017-07-07,2017,07,07,friday,summer,0
2017-07-10,2017,07,10,monday,summer,0
2017-07-11,2017,07,11,tuesday,summer,0
2017-07-12,2017,07,12,wednesday,summer,0
2017-07-13,2017,07,13,thursday,summer,0
2017-07-14,2017,07,14,friday,summer,0
2017-07-17,2017,07,17,monday,summer,0
2017-07-18,2017,07,18,tuesday,summer,0
2017-07-19,2017,07,19,wednesday,summer,0
2017-07-20,2017,07,20,thursday,summer,0
2017-07-21,2017,07,21,friday,summer,0
2017-07-24,2017,07,24,monday,summer,0
2017-07-25,2017,07,25,tuesday,summer,0
2017-07-26,2017,07,26,wednesday,summer,0
2017-07-27,2017,07,27,thursday,summer,0
2017-07-28,2017,07,28,friday,summer,0
2017-07-31,2017,07,31,monday,summer,0
2017-08-01,2017,08,01,tuesday,summer,0
2017-08-02,2017,08,02,wednesday,summer,0
2017-08-03,2017,08,03,thursday,summer,0
2017-08-04,2017,08,04,friday,summer,0
2017-08-07,2017,08,07,monday,summer,0
2017-08-08,2017,08,08,tuesday,summer,0
2017-08-09,2017,08,09,wednesday,summer,0
2017-08-10,2017,08,10,thursday,summer,0
2017-08-11,2017,08,11,friday,summer,0
2017-08-14,2017,08,14,monday,summer,1
2017-08-16,2017,08,16,wednesday,summer,0
2017-08-17,2017,08,17,thursday,summer,0
2017-08-18,2017,08,18,friday,summer,0
2017-08-21,2017,08,21,monday,summer,0
2017-08-22,2017,08,22,tuesday,summer,0
2017-08-23,2017,08,23,wednesday,summer,0
2017-08-24,2017,08,24,thursday,summer,0
2017-08-25,2017,08,25,friday,summer,0
2017-08-28,2017,08,28,monday,summer,0
2017-08-29,2017,08,29,tuesday,summer,0
2017-08-30,2017,08,30,wednesday,summer,0
2017-08-31,2017,08,31,thursday,summer,0
2017-09-01,2017,09,01,friday,fall,0
2017-09-04,2017,09,04,monday,fall,0
2017-09-05,2017,09,05,tuesday,fall,0
2017-09-06,2017,09,06,wednesday,fall,0
2017-09-07,2017,09,07,thursday,fall,0
2017-09-08,2017,09,08,friday,fall,0
2017-09-11,2017,09,11,monday,fall,0
2017-09-12,2017,09,12,tuesday,fall,0
2017-09-13,2017,09,13,wednesday,fall,0
2017-09-14,2017,09,14,thursday,fall,0
2017-09-15,2017,09,15,friday,fall,0
2017-09-18,2017,09,18,monday,fall,0
2017-09-19,2017,09,19,tuesday,fall,0
2017-09-20,2017,09,20,wednesday,fall,0
2017-09-21,2017,09,21,thursday,fall,0
2017-09-22,2017,09,22,friday,fall,0
2017-09-25,2017,09,25,monday,fall,0
2017-09-26,2017,09,26,tuesday,fall,0
2017-09-27,2017,09,27,wednesday,fall,0
2017-09-28,2017,09,28,thursday,fall,0
2017-09-29,2017,09,29,friday,fall,1
2017-10-10,2017,10,10,tuesday,fall,0
2017-10-11,2017,10,11,wednesday,fall,0
2017-10-12,2017,10,12,thursday,fall,0
2017-10-13,2017,10,13,friday,fall,0
2017-10-16,2017,10,16,monday,fall,0
2017-10-17,2017,10,17,tuesday,fall,0
2017-10-18,2017,10,18,wednesday,fall,0
2017-10-19,2017,10,19,thursday,fall,0
2017-10-20,2017,10,20,friday,fall,0
2017-10-23,2017,10,23,monday,fall,0
2017-10-24,2017,10,24,tuesday,fall,0
2017-10-25,2017,10,25,wednesday,fall,0
2017-10-26,2017,10,26,thursday,fall,0
2017-10-27,2017,10,27,friday,fall,0
2017-10-30,2017,10,30,monday,fall,0
2017-10-31,2017,10,31,tuesday,fall,0
2017-11-01,2017,11,01,wednesday,fall,0
2017-11-02,2017,11,02,thursday,fall,0
2017-11-03,2017,11,03,friday,fall,0
2017-11-06,2017,11,06,monday,fall,0
2017-11-07,2017,11,07,tuesday,fall,0
2017-11-08,2017,11,08,wednesday,fall,0
2017-11-09,2017,11,09,thursday,fall,0
2017-11-10,2017,11,10,friday,fall,0
2017-11-13,2017,11,13,monday,fall,0
2017-11-14,2017,11,14,tuesday,fall,0
2017-11-15,2017,11,15,wednesday,fall,0
2017-11-16,2017,11,16,thursday,fall,0
2017-11-17,2017,11,17,friday,fall,0
2017-11-20,2017,11,20,monday,fall,0
2017-11-21,2017,11,21,tuesday,fall,0
2017-11-22,2017,11,22,wednesday,fall,0
2017-11-23,2017,11,23,thursday,fall,0
2017-11-24,2017,11,24,friday,fall,0
2017-11-27,2017,11,27,monday,fall,0
2017-11-28,2017,11,28,tuesday,fall,0
2017-11-29,2017,11,29,wednesday,fall,0
2017-11-30,2017,11,30,thursday,fall,0
2017-12-01,2017,12,01,friday,winter,0
2017-12-04,2017,12,04,monday,winter,0
2017-12-05,2017,12,05,tuesday,winter,0
2017-12-06,2017,12,06,wednesday,winter,0
2017-12-07,2017,12,07,thursday,winter,0
2017-12-08,2017,12,08,friday,winter,0
2017-12-11,2017,12,11,monday,winter,0
2017-12-12,2017,12,12,tuesday,winter,0
2017-12-13,2017,12,13,wednesday,winter,0
2017-12-14,2017,12,14,thursday,winter,0
2017-12-15,2017,12,15,friday,winter,0
2017-12-18,2017,12,18,monday,winter,0
2017-12-19,2017,12,19,tuesday,winter,0
2017-12-20,2017,12,20,wednesday,winter,0
2017-12-21,2017,12,21,thursday,winter,0
2017-12-22,2017,12,22,friday,winter,1
2017-12-26,2017,12,26,tuesday,winter,0
2017-12-27,2017,12,27,wednesday,winter,0
2017-12-28,2017,12,28,thursday,winter,0
2017-12-29,2017,12,29,friday,winter,1
2018-01-02,2018,01,02,tuesday,winter,0
2018-01-03,2018,01,03,wednesday,winter,0
2018-01-04,2018,01,04,thursday,winter,0
2018-01-05,2018,01,05,friday,winter,0
2018-01-08,2018,01,08,monday,winter,0
2018-01-09,2018,01,09,tuesday,winter,0
2018-01-10,2018,01,10,wednesday,winter,0
2018-01-11,2018,01,11,thursday,winter,0
2018-01-12,2018,01,12,friday,winter,0
2018-01-15,2018,01,15,monday,winter,0
2018-01-16,2018,01,16,tuesday,winter,0
2018-01-17,2018,01,17,wednesday,winter,0
2018-01-18,2018,01,18,thursday,winter,0
2018-01-19,2018,01,19,friday,winter,0
2018-01-22,2018,01,22,monday,winter,0
2018-01-23,2018,01,23,tuesday,winter,0
2018-01-24,2018,01,24,wednesday,winter,0
2018-01-25,2018,01,25,thursday,winter,0
2018-01-26,2018,01,26,friday,winter,0
2018-01-29,2018,01,29,monday,winter,0
2018-01-30,2018,01,30,tuesday,winter,0
2018-01-31,2018,01,31,wednesday,winter,0
2018-02-01,2018,02,01,thursday,winter,0
2018-02-02,2018,02,02,friday,winter,0
2018-02-05,2018,02,05,monday,winter,0
2018-02-06,2018,02,06,tuesday,winter,0
2018-02-07,2018,02,07,wednesday,winter,0
2018-02-08,2018,02,08,thursday,winter,0
2018-02-09,2018,02,09,friday,winter,0
2018-02-12,2018,02,12,monday,winter,0
2018-02-13,2018,02,13,tuesday,winter,0
2018-02-14,2018,02,14,wednesday,winter,1
2018-02-19,2018,02,19,monday,winter,0
2018-02-20,2018,02,20,tuesday,winter,0
2018-02-21,2018,02,21,wednesday,winter,0
2018-02-22,2018,02,22,thursday,winter,0
2018-02-23,2018,02,23,friday,winter,0
2018-02-26,2018,02,26,monday,winter,0
2018-02-27,2018,02,27,tuesday,winter,0
2018-02-28,2018,02,28,wednesday,winter,1
2018-03-02,2018,03,02,friday,spring,0
2018-03-05,2018,03,05,monday,spring,0
2018-03-06,2018,03,06,tuesday,spring,0
2018-03-07,2018,03,07,wednesday,spring,0
2018-03-08,2018,03,08,thursday,spring,0
2018-03-09,2018,03,09,friday,spring,0
2018-03-12,2018,03,12,monday,spring,0
2018-03-13,2018,03,13,tuesday,spring,0
2018-03-14,2018,03,14,wednesday,spring,0
2018-03-15,2018,03,15,thursday,spring,0
2018-03-16,2018,03,16,friday,spring,0
2018-03-19,2018,03,19,monday,spring,0
2018-03-20,2018,03,20,tuesday,spring,0
2018-03-21,2018,03,21,wednesday,spring,0
2018-03-22,2018,03,22,thursday,spring,0
2018-03-23,2018,03,23,friday,spring,0
2018-03-26,2018,03,26,monday,spring,0
2018-03-27,2018,03,27,tuesday,spring,0
2018-03-28,2018,03,28,wednesday,spring,0
2018-03-29,2018,03,29,thursday,spring,0
2018-03-30,2018,03,30,friday,spring,0
2018-04-02,2018,04,02,monday,spring,0
2018-04-03,2018,04,03,tuesday,spring,0
2018-04-04,2018,04,04,wednesday,spring,0
2018-04-05,2018,04,05,thursday,spring,0
2018-04-06,2018,04,06,friday,spring,0
2018-04-09,2018,04,09,monday,spring,0
2018-04-10,2018,04,10,tuesday,spring,0
2018-04-11,2018,04,11,wednesday,spring,0
2018-04-12,2018,04,12,thursday,spring,0
2018-04-13,2018,04,13,friday,spring,0
2018-04-16,2018,04,16,monday,spring,0
2018-04-17,2018,04,17,tuesday,spring,0
2018-04-18,2018,04,18,wednesday,spring,0
2018-04-19,2018,04,19,thursday,spring,0
2018-04-20,2018,04,20,friday,spring,0
2018-04-23,2018,04,23,monday,spring,0
2018-04-24,2018,04,24,tuesday,spring,0
2018-04-25,2018,04,25,wednesday,spring,0
2018-04-26,2018,04,26,thursday,spring,0
2018-04-27,2018,04,27,friday,spring,0
2018-04-30,2018,04,30,monday,spring,1
2018-05-02,2018,05,02,wednesday,spring,0
2018-05-03,2018,05,03,thursday,spring,0
2018-05-04,2018,05,04,friday,spring,1
2018-05-08,2018,05,08,tuesday,spring,0
2018-05-09,2018,05,09,wednesday,spring,0
2018-05-10,2018,05,10,thursday,spring,0
2018-05-11,2018,05,11,friday,spring,0
2018-05-14,2018,05,14,monday,spring,0
2018-05-15,2018,05,15,tuesday,spring,0
2018-05-16,2018,05,16,wednesday,spring,0
2018-05-17,2018,05,17,thursday,spring,0
2018-05-18,2018,05,18,friday,spring,0
2018-05-21,2018,05,21,monday,spring,1
2018-05-23,2018,05,23,wednesday,spring,0
2018-05-24,2018,05,24,thursday,spring,0
2018-05-25,2018,05,25,friday,spring,0
2018-05-28,2018,05,28,monday,spring,0
2018-05-29,2018,05,29,tuesday,spring,0
2018-05-30,2018,05,30,wednesday,spring,0
2018-05-31,2018,05,31,thursday,spring,0
2018-06-01,2018,06,01,monday,summer,0
2018-06-04,2018,06,04,monday,summer,0
2018-06-05,2018,06,05,tuesday,summer,1
2018-06-07,2018,06,07,thursday,summer,0
2018-06-08,2018,06,08,friday,summer,0
2018-06-11,2018,06,11,monday,summer,0
2018-06-12,2018,06,12,tuesday,summer,1
2018-06-14,2018,06,14,thursday,summer,0
2018-06-15,2018,06,15,friday,summer,0
2018-06-18,2018,06,18,monday,summer,0
2018-06-19,2018,06,19,tuesday,summer,0
2018-06-20,2018,06,20,wednesday,summer,0
2018-06-21,2018,06,21,thursday,summer,0
2018-06-22,2018,06,22,friday,summer,0
2018-06-25,2018,06,25,monday,summer,0
2018-06-26,2018,06,26,tuesday,summer,0
2018-06-27,2018,06,27,wednesday,summer,0
2018-06-28,2018,06,28,thursday,summer,0
2018-06-29,2018,06,29,friday,summer,0
2018-07-02,2018,07,02,monday,summer,0
2018-07-03,2018,07,03,tuesday,summer,0
2018-07-04,2018,07,04,wednesday,summer,0
2018-07-05,2018,07,05,thursday,summer,0
2018-07-06,2018,07,06,friday,summer,0
2018-07-09,2018,07,09,monday,summer,0
2018-07-10,2018,07,10,tuesday,summer,0
2018-07-11,2018,07,11,wednesday,summer,0
2018-07-12,2018,07,12,thursday,summer,0
2018-07-13,2018,07,13,friday,summer,0
2018-07-16,2018,07,16,monday,summer,0
2018-07-17,2018,07,17,tuesday,summer,0
2018-07-18,2018,07,18,wednesday,summer,0
2018-07-19,2018,07,19,thursday,summer,0
