datetime,new_lunch,lunch_rice,lunch_soup,lunch_main,lunch_number
2016-05-26,N,밥,쇠고기해장국,갈치구이,783.0
2016-05-27,N,밥,배추된장국,닭양념조림,660.0
2016-05-30,N,밥,콩나물김치국,누룽지탕수육,1231.0
2016-05-31,N,밥,근대된장국,닭갈비,921.0
2016-06-01,N,열무비빔밥,강된장찌개,오징어튀김,916.0
2016-06-02,N,밥,오이미역냉국,모둠장조림,850.0
2016-06-03,N,밥,차돌박이찌개,찜닭,721.0
2016-06-07,N,밥,북어계란국,돈육굴소스볶음,1244.0
2016-06-08,N,밥,참치김치찌개,순살깐풍기,931.0
2016-06-09,N,밥,매운콩나물국,돼지갈비찜,829.0
2016-06-10,N,밥,된장찌개,오징어볶음,697.0
2016-06-13,N,밥,북어콩나물국,제육볶음,1243.0
2016-06-14,N,밥,배추된장국,닭양념조림,973.0
2016-06-15,N,카레덮밥,맑은국,떡갈비조림,984.0
2016-06-16,N,밥,부대찌개,가자미양념찜,800.0
2016-06-17,N,밥,꽃게탕,돈육강정,694.0
2016-06-20,N,밥,어묵국,레몬탕수육,1146.0
2016-06-21,N,밥,대구찌개,간장치킨,1091.0
2016-06-22,N,밥,시래기국,돈삼겹보쌈,1022.0
2016-06-23,N,밥,쇠고기무국,매콤낙지볶음,877.0
2016-06-24,N,밥,도토리묵냉국,목살데리야끼구이,805.0
2016-06-27,N,밥,배추된장국,훈제오리구이,1142.0
2016-06-28,N,밥,육개장,고등어구이,917.0
2016-06-29,N,밥,콩나물국,간장돼지갈비찜,820.0
2016-06-30,N,밥,버섯들깨찌개,닭오븐구이,886.0
2016-07-01,N,밥,수제비국,유자청제육볶음,879.0
2016-07-04,N,밥,감자고추장찌개,버섯불고기,1292.0
2016-07-05,N,밥,쇠고기미역국,꽁치김치말이찜,952.0
2016-07-06,N,곤드레밥,가쯔오장국,닭강정,939.0
2016-07-07,N,밥,된장찌개,갈치조림,857.0
2016-07-08,N,밥,우무묵냉국,갈릭돈까스,863.0
2016-07-11,N,밥,호박잎찌개,돈육굴소스볶음,1115.0
2016-07-12,N,밥,건새우아욱국,순살파닭,919.0
2016-07-13,N,나물비빔밥,오이냉국,사천식탕수육,866.0
2016-07-14,N,밥,배추된장국,매운주꾸미볶음,781.0
2016-07-15,N,밥,북어계란국,등갈비김치찜,867.0
2016-07-18,N,밥,순두부찌개,돈육떡강정,1158.0
2016-07-19,N,밥,시래기국,목살데리야끼,888.0
2016-07-20,N,밥,사골우거지탕,미트볼조림,844.0
2016-07-21,N,밥,우묵콩국,고추장불고기,733.0
2016-07-22,N,참치회덮밥,미소장국,고구마치즈구이,661.0
2016-07-25,N,밥,쇠고기미역국,불닭볶음,1086.0
2016-07-26,N,밥,청국장찌개,미니채소떡갈비,927.0
2016-07-27,N,밥,시금치국,동파삼겹수육,872.0
2016-07-28,N,밥,꽃게탕,훈제오리냉채,816.0
2016-07-29,N,연복풍덮밥,도토리묵냉국,꽁치오븐구이,671.0
2016-08-01,N,밥,부대찌개*라면사리,갈치구이,1055.0
2016-08-02,N,열무보리비빔밥,팽이장국,꽃맛살볶음,829.0
2016-08-03,N,밥,버섯들깨탕,레몬탕수육,802.0
2016-08-04,N,밥,복숭아미역냉국,닭데리야끼조림,671.0
2016-08-05,N,밥,된장찌개,매콤돼지갈비찜,641.0
2016-08-08,N,밥,호박잎된장국,유자청제육볶음,1038.0
2016-08-09,N,밥,콩나물국,미니함박조림,874.0
2016-08-10,N,밥,사과오이냉국,장어강정,842.0
2016-08-11,N,밥,시래기국,삼겹살오븐구이,845.0
2016-08-12,N,불고기덮밥,맑은국,새우까스&탈탈소스,708.0
2016-08-16,N,밥,닭곰탕,고등어조림,1023.0
2016-08-17,N,밥,대구매운탕,오징어볶음,924.0
2016-08-18,N,밥,열무된장국,갈릭돈가스,943.0
2016-08-19,N,단호박영양밥,도토리묵냉국,소고기숙주볶음,754.0
2016-08-22,N,밥,꽃게탕,고추잡채*꽃빵,1266.0
2016-08-23,N,밥,배추된장국,칠리탕수육,1145.0
2016-08-24,N,밥,해물된장찌개,닭볶음,941.0
2016-08-25,N,밥,육개장,동태무조림,885.0
2016-08-26,N,밥,떡국,마늘치킨,813.0
2016-08-29,N,밥,순두부찌개,소불고기,1258.0
2016-08-30,N,밥,버섯매운탕,갈치구이,901.0
2016-08-31,N,낙지비빔밥,가쯔오장국,계란말이,915.0
2016-09-01,N,밥,오징어국,목살데리야끼,953.0
2016-09-02,N,밥,시래기된장국,닭찜,832.0
2016-09-05,N,밥,쇠고기샤브국,오징어볶음,1164.0
2016-09-06,N,밥,부대찌개,가자미카레튀김,784.0
2016-09-07,N,곤드레밥,두부맑은국,돈육떡강정,926.0
2016-09-08,N,밥,된장찌개,오리고추장볶음,758.0
2016-09-09,N,밥,황태맑은국,유린기,682.0
2016-09-12,N,밥,시래기국,닭볶음,924.0
2016-09-13,N,밥,토란국,매운돼지갈비찜,820.0
2016-09-19,N,밥,어묵국,오리훈제고추장볶음,1271.0
2016-09-20,N,밥,얼갈이된장국,레몬탕수육,1039.0
2016-09-21,N,열무비빔밥,팽이장국,너비아니구이,1068.0
2016-09-22,N,밥,쇠고기무국,임연수찜,891.0
2016-09-23,N,밥,오징어국,소고기숙주볶음,716.0
2016-09-26,N,밥,아욱된장국,유자청돈육볶음,1185.0
2016-09-27,N,밥,느타리버섯국,간장파닭,1033.0
2016-09-28,N,카레덮밥,맑은국,샐러드파스타,1128.0
2016-09-29,N,밥,된장찌개,돈육장조림,1044.0
2016-09-30,N,밥,우거지해장국,꽁치한마리구이,843.0
2016-10-04,N,밥,배추된장국,버섯불고기,1262.0
2016-10-05,N,밥,차돌박이찌개,매운주꾸미볶음,1336.0
2016-10-06,N,밥,미역국,한방소갈비찜,1196.0
2016-10-07,N,밥,대구매운탕,표고돈육탕수,843.0
2016-10-10,N,밥,쇠고기샤브국,오징어볶음,1180.0
2016-10-11,N,밥,시금치된장국,목살스테이크,1014.0
2016-10-12,N,산채비빔밥*강된장,팽이버섯국,생선커틀릿,951.0
2016-10-13,N,밥,떡국,마늘치킨,1051.0
2016-10-14,N,밥,건새우무국,등갈비김치찜,898.0
2016-10-17,N,밥,미역국,소불고기,1196.0
2016-10-18,N,밥,꽃게탕,미트볼칠리조림,994.0
2016-10-19,N,밥,참치김치찌개,유린기,933.0
2016-10-20,N,밥,돈신탕(해장탕),꽁치김치말이,787.0
2016-10-21,N,짜장밥,계란국,사천식탕수육,760.0
2016-10-24,N,밥,된장찌개,제육볶음,1171.0
2016-10-25,N,밥,육개장,갈치구이,1028.0
2016-10-26,N,곤드레밥,배추된장국,데리야끼파닭,854.0
2016-10-27,N,밥,동태찌개,돈육장조림,807.0
2016-10-28,N,밥,버섯들깨탕,고등어조림,731.0
2016-10-31,N,밥,근대된장국,쇠고기숙주볶음,1224.0
2016-11-01,N,밥,알탕,닭갈비,1087.0
2016-11-02,N,콩나물밥,가쯔오장국,훈제오리/무쌈,1006.0
2016-11-03,N,밥,쇠고기무국,쭈꾸미볶음,864.0
2016-11-04,N,밥,사골우거지탕,명태엿장조림,803.0
2016-11-07,N,밥,오징어국,유자청제육볶음,1156.0
2016-11-08,N,밥,차돌박이찌개,순살양념치킨,986.0
2016-11-09,N,단호박영양밥,꽃게탕,고추잡채*꽃빵,920.0
2016-11-10,N,밥,김치콩나물국,쇠고기장조림,795.0
2016-11-11,N,밥,아욱된장국,칠리탕수육,652.0
2016-11-14,N,밥,어묵국,소고기버섯볶음,1260.0
2016-11-15,N,밥,김치국,닭데리야끼조림,914.0
2016-11-16,N,버섯영양밥,조랭이떡미역국,유산슬,888.0
2016-11-17,N,밥,설렁탕,해물김치전,882.0
2016-11-18,N,밥,콩비지찌개,순살깐풍기,730.0
2016-11-21,N,밥,시래기된장국,누룽지탕수육,1235.0
2016-11-22,N,밥,대구매운탕,쇠고기숙주볶음,1046.0
2016-11-23,N,밥,순두부탕,파닭,891.0
2016-11-24,N,밥,수제비국,짬뽕불고기,870.0
2016-11-25,N,카레덮밥,맑은국,통감자오븐구이,720.0
2016-11-28,N,밥,쇠고기느타리국,오징어볶음,1246.0
2016-11-29,N,밥,근대국,제육볶음,900.0
2016-11-30,N,나물비빔밥,가쯔오장국,치킨핑거*요거트D,1109.0
2016-12-01,N,밥,콩나물국,모둠장조림,956.0
2016-12-02,N,밥,떡국,양념찜닭,766.0
2016-12-05,N,밥,순두부찌개,훈제오리구이,1110.0
2016-12-06,N,밥,홍합탕,삼겹살오븐구이,930.0
2016-12-07,N,짜장밥,유부장국,해물누룽지탕,895.0
2016-12-08,N,밥,아욱국,양념돼지갈비찜,787.0
2016-12-09,N,밥,차돌박이된장찌개,삼치무조림,621.0
2016-12-12,N,밥,콩나물김치국,돈육굴소스볶음,1069.0
2016-12-13,N,밥,냉이된장찌개,코다리강정,770.0
2016-12-14,N,소불고기덮밥,가쯔오장국,고구마튀김,904.0
2016-12-15,N,밥,콩비지찌개,오리고추장볶음,850.0
2016-12-16,N,밥,쇠고기샤브국,갈치구이,699.0
2016-12-19,N,밥,배추된장국,짬뽕불고기,1215.0
2016-12-20,N,밥,콩나물국,고추잡채*꽃빵,790.0
2016-12-21,N,밥,된장찌개,마늘간장치킨,929.0
2016-12-22,N,밥,꽃게탕,쇠고기버섯볶음,524.0
2016-12-23,N,밥,얼갈이국,떡갈비조림,560.0
2016-12-26,N,밥,동태찌개,돈육간장불고기,1192.0
2016-12-27,N,밥,열무된장국,닭갈비,823.0
2016-12-28,N,콩나물밥,가쯔오장국,미트볼케찹조림,767.0
2016-12-29,N,밥,시래기국,오징어볶음*소면,711.0
2016-12-30,N,밥,순두부찌개,수제돈까스,658.0
2017-01-02,N,밥,사골떡국,쇠고기낙지볶음,1273.0
2017-01-03,N,밥,홍합탕,매운동태찜,1041.0
2017-01-04,N,곤드레밥,황태국,동그랑땡전,949.0
2017-01-05,N,밥,육개장,굴비구이,1000.0
2017-01-06,N,밥,된장찌개,레몬탕수육,830.0
2017-01-09,N,밥,콩나물국,동파육,1322.0
2017-01-10,N,밥,쇠고기미역국,주꾸미떡볶음,1186.0
2017-01-11,N,비빔밥,팽이장국,생선까스,1039.0
2017-01-12,N,밥,어묵국,매운닭찜,976.0
2017-01-13,N,밥,짬뽕국,미니함박조림,791.0
2017-01-16,N,밥,얼갈이된장국,오징어볶음*소면,1273.0
2017-01-17,N,밥,순두부찌개,쇠고기숙주볶음,1035.0
2017-01-18,N,밥,아욱국,훈제오리구이,863.0
2017-01-19,N,밥,수제비국,유자청돈육볶음,866.0
2017-01-20,N,밥,닭개장,가자미카레튀김,709.0
2017-01-23,N,밥,냉이콩나물국,닭볶음,1152.0
2017-01-24,N,밥,알탕,돈육간장불고기,974.0
2017-01-25,N,카레덮밥,맑은국,유린기,720.0
2017-01-26,N,밥,배추된장국,소갈비찜,844.0
2017-01-31,N,밥,미역국,언양식불고기*양파채,1240.0
2017-02-01,N,밥,시금치된장국,고추장불고기,1260.0
2017-02-02,N,밥,굴김치두부국,스위트칠리미트볼,1005.0
2017-02-03,N,밥,콩나물국,소고기낙지볶음,854.0
2017-02-06,N,밥,냉이된장찌개,닭갈비,1319.0
2017-02-07,N,밥,대구매운탕,유산슬,1114.0
2017-02-08,N,콩나물밥,맑은국,닭오븐구이,1068.0
2017-02-09,N,밥,배추국,수제돈까스,953.0
2017-02-10,N,오곡밥,소고기무국,굴비구이,797.0
2017-02-13,N,밥,쇠고기미역국,제육볶음,1364.0
2017-02-14,N,밥,된장찌개,주꾸미볶음,997.0
2017-02-15,N,밥,들깨시래기국,순살파닭,1045.0
2017-02-16,N,밥,홍합탕,소불고기,968.0
2017-02-17,N,밥,어묵국,등갈비김치찜,753.0
2017-02-20,N,밥,열무된장국,동파육,1216.0
2017-02-21,N,밥,버섯들깨탕,낙지볶음,1004.0
2017-02-22,N,나물비빔밥,유부장국,생선까스*탈탈소스,1065.0
2017-02-23,N,밥,콩나물국,돼지갈비찜,917.0
2017-02-24,N,밥,수제비국,깐풍기,698.0
2017-02-27,N,밥,봄동된장국,훈제오리구이,1141.0
2017-02-28,N,밥,사골떡국,언양식불고기,956.0
2017-03-02,N,밥,돈육김치찌개,팝콘치킨*데리마요,1057.0
2017-03-03,N,카레덮밥,맑은국,미니채소떡갈비,926.0
2017-03-06,N,밥,어묵국,순살닭갈비,1311.0
2017-03-07,N,밥,토란탕,돈육칠리강정,994.0
2017-03-08,N,곤드레밥*강된장,미소국,오징어볶음,879.0
2017-03-09,N,밥,아욱국,마늘치킨,954.0
2017-03-10,N,밥,얼큰순두부찌개,해물청경채볶음,664.0
2017-03-13,N,밥,오징어국,버섯불고기,1295.0
2017-03-14,N,밥,동태찌개,미트볼케찹조림,972.0
2017-03-15,N,밥,근대국,양념찜닭,961.0
2017-03-16,N,밥,옹심이만두국,돈육굴소스볶음,951.0
2017-03-17,N,밥,고추장찌개,치킨커틀렛,625.0
2017-03-20,N,밥,아욱국,콩나물불고기,1328.0
2017-03-21,N,밥,냉이된장찌개,쇠고기장조림,940.0
2017-03-22,N,밥,돈육김치찌개,유린기,953.0
2017-03-23,N,밥,콩가루배추국,돼지갈비찜,911.0
2017-03-24,N,밥,대구매운탕,고추잡채*꽃빵,644.0
2017-03-27,N,밥,알탕,소고기숙주볶음,1114.0
2017-03-28,N,밥,소고기미역국,주꾸미볶음,970.0
2017-03-29,N,봄나물비빔밥,팽이장국,언양식불고기,966.0
2017-03-30,N,밥,북어콩나물국,사천식탕수육,802.0
2017-03-31,N,밥,쇠고기무국(빨갛게),생선커틀렛,639.0
2017-04-03,N,밥,꽃게탕,오이달래무침,1258.0
2017-04-04,N,밥,된장찌개,쇠불고기,809.0
2017-04-05,N,짜장밥,맑은계란국,유산슬,1060.0
2017-04-06,N,밥,근대국,마늘치킨,897.0
2017-04-07,N,밥,육개장,미니채소떡갈비,602.0
2017-04-10,N,밥,얼갈이국,쇠고기낙지볶음,1218.0
2017-04-11,N,밥,김치찌개,해물누룽지탕,994.0
2017-04-12,N,밥,들깨미역국,삼겹살오븐구이,893.0
2017-04-13,N,밥,황태국,닭데리야끼조림,784.0
2017-04-14,N,밥,쇠고기샤브국,오징어볶음,541.0
2017-04-17,N,밥,된장찌개,돈육굴소스볶음,1237.0
2017-04-18,N,밥,들깨시래기국,쇠고기장조림,839.0
2017-04-19,N,곤드레밥,맑은국,탕수어,871.0
2017-04-20,N,밥,아욱국,등갈비김치찜,713.0
2017-04-21,N,밥,콩나물김치국,버섯불고기,547.0
2017-04-24,N,밥,부대찌개,언양식불고기,1109.0
2017-04-25,N,밥,차돌박이찌개,닭강정,791.0
2017-04-26,N,비빔밥,맑은국,오징어튀김,835.0
2017-04-27,N,밥,미역국,매콤함박스테이크,788.0
2017-04-28,N,밥,꽃게찌개,탕수육,575.0
2017-05-02,N,밥,참치김치찌개,훈제오리구이/쌈무,525.0
2017-05-04,N,밥,들깨미역국,닭갈비,383.0
2017-05-08,N,밥,고추장찌개,쇠불고기,792.0
2017-05-10,N,밥,된장찌개,제육볶음,1235.0
2017-05-11,N,밥,콩가루배추국,낙지볶음,829.0
2017-05-12,N,밥,옹심이만두떡국,유린기,817.0
2017-05-15,N,밥,콩비지찌개,돈육꽈리고추볶음,1203.0
2017-05-16,N,밥,쇠고기샤브국,오징어볶음,890.0
2017-05-17,N,밥,열무된장국,쇠고기장조림,864.0
2017-05-18,N,밥,부대찌개,굴비구이,796.0
2017-05-19,N,밥,새우살미역국,순살양념치킨,662.0
2017-05-22,N,밥,시금치된장국,제육볶음,1207.0
2017-05-23,N,밥,소고기국,간장찜닭,889.0
2017-05-24,N,콩나물밥,김치국,고등어구이,852.0
2017-05-25,N,밥,들깨시래기국,오리불고기,838.0
2017-05-26,N,밥,콩나물국,주꾸미떡볶음,597.0
2017-05-29,N,밥,황태국,소불고기,1193.0
2017-05-30,N,밥,얼갈이된장국,동파삼겹수육,821.0
2017-05-31,N,열무보리비빔밥,가쯔오장국,탕수만두,910.0
2017-06-01,N,밥,오이냉국,등갈비김치찜,914.0
2017-06-02,N,밥,돈육김치찌개,삼치된장구이,699.0
2017-06-05,N,밥,근대국,돈육굴소스볶음,760.0
2017-06-07,N,밥,콩나물국,훈제오리구이,1127.0
2017-06-08,N,밥,얼갈이된장국,미니채소떡갈비,857.0
2017-06-09,N,밥,호박잎된장찌개,깐풍기,715.0
2017-06-12,N,밥,연두부탕,쇠고기숙주볶음,1140.0
2017-06-13,N,밥,도토리묵냉국,쭈꾸미볶음,916.0
2017-06-14,N,곤드레밥*강된장,가쯔오장국,치킨핑거,907.0
2017-06-15,N,밥,쇠고기샤브국,갈치구이,763.0
2017-06-16,N,밥,아욱된장국,삼겹살구이,644.0
2017-06-19,N,밥,들깨시래기국,유자청제육볶음,1126.0
2017-06-20,N,밥,오이지냉국,고등어김치말이,888.0
2017-06-21,N,카레라이스,유부주머니국,언양식불고기,982.0
2017-06-22,N,밥,쇠고기미역국,해물누룽지탕,875.0
2017-06-23,N,밥,나가사끼짬뽕국,닭갈비,609.0
2017-06-26,N,밥,차돌박이찌개,훈제오리고추장볶음,1147.0
2017-06-27,N,밥,북어콩나물국,오징어볶음,973.0
2017-06-28,N,콩나물밥,얼갈이된장국,삼치구이,745.0
2017-06-29,N,밥,우무묵냉국,갈릭돈까스,814.0
2017-06-30,N,밥,꼬지어묵탕,매운닭찜,695.0
2017-07-03,N,밥,콩나물국,짬뽕불고기,1231.0
2017-07-04,N,밥,배추된장국,낙지볶음,962.0
2017-07-05,N,짜장덮밥,계란국,유산슬,912.0
2017-07-06,N,밥,아욱된장국,등갈비김치찜,821.0
2017-07-07,N,밥,오이냉국,유린기,613.0
2017-07-10,N,밥,콩나물국,버섯불고기,1084.0
2017-07-11,N,밥,어묵국,주꾸미떡볶음,866.0
2017-07-12,N,<초복특식>,삼계탕,찹쌀밥,918.0
2017-07-13,N,밥,근대국,돼지갈비찜,765.0
2017-07-14,N,밥,부대찌개,갈치조림,613.0
2017-07-17,N,밥,무채국,돈육고추장볶음,1168.0
2017-07-18,N,밥,열무된장국,간장찜닭,916.0
2017-07-19,N,김치제육덮밥,맑은국,양장피잡채,830.0
2017-07-20,N,밥,소고기매운무국,오징어굴소스볶음,750.0
2017-07-21,N,밥,닭곰탕,미트볼케찹조림,648.0
2017-07-24,N,밥,어묵탕,콩나물불고기,1119.0
2017-07-25,N,밥,된장찌개,가자미카레튀김,827.0
2017-07-26,N,나물비빔밥,미소장국,파스타샐러드,797.0
2017-07-27,N,밥,콩나물냉국,순살파닭,804.0
2017-07-28,N,밥,쇠고기샤브국,주꾸미떡볶음,501.0
2017-07-31,N,밥,연두부탕,쇠고기숙주볶음,945.0
2017-08-01,N,밥,부대찌개,해물누룽지탕,745.0
2017-08-02,N,밥,꽃게탕,미니채소떡갈비,799.0
2017-08-03,N,밥,오이미역냉국,닭오븐구이,776.0
2017-08-04,N,밥,콩나물국,제육볶음,668.0
2017-08-07,N,밥,어묵국,쇠고기낙지볶음,1078.0
2017-08-08,N,밥,미역국,닭갈비,842.0
2017-08-09,N,밥,도토리묵냉국,수제돈까스,946.0
2017-08-10,N,밥,돈육김치찌개,갈치구이,777.0
2017-08-11,N,밥,고추장찌개,돈육보쌈,710.0
2017-08-14,N,밥,된장찌개,짬뽕불고기,692.0
2017-08-16,N,밥,쇠고기무국,오징어볶음*소면,973.0
2017-08-17,N,밥,들깨시래기국,매운닭찜,823.0
2017-08-18,N,짜장밥,맑은국,해물까스*칠리소스,731.0
2017-08-21,N,밥,조랭이떡미역국,소고기불고기,1232.0
2017-08-22,N,밥,해물된장찌개,표고버섯탕수육,1053.0
2017-08-23,N,곤드레밥*강된장,가쯔오장국,가자미양념찜,953.0
2017-08-24,N,밥,쇠고기샤브국,주꾸미굴소스볶음,843.0
2017-08-25,N,밥,알탕,미트볼케찹조림,594.0
2017-08-28,N,밥,콩나물국,돈육간장불고기,1191.0
2017-08-29,N,밥,배추된장국,닭갈비,877.0
2017-08-30,N,산채비빔밥,미소장국,언양식불고기,898.0
2017-08-31,N,밥,육개장,굴비구이,852.0
2017-09-01,N,밥,시래기국,훈제오리구이,663.0
2017-09-04,N,밥,북어국,버섯불고기,1168.0
2017-09-05,N,밥,연두부탕,등갈비김치찜,924.0
2017-09-06,N,밥,꽃게탕,마늘치킨,922.0
2017-09-07,N,밥,쇠고기미역국,오징어볶음*소면,926.0
2017-09-08,N,밥,열무된장국,동파육,662.0
2017-09-11,N,밥,시래기된장국,유자청제육볶음,1350.0
2017-09-12,N,밥,차돌박이찌개,해물누룽지탕,993.0
2017-09-13,N,카레라이스,미소장국,떡갈비조림,945.0
2017-09-14,N,밥,고사리육개장,닭찜,860.0
2017-09-15,N,밥,참치김치찌개,단호박장조림,602.0
2017-09-18,N,밥,해물순두부찌개,언양식불고기,1214.0
2017-09-19,N,밥,들깨버섯국,소고기낙지볶음,958.0
2017-09-20,N,콩나물밥,가쯔오국,감자프리타타,890.0
2017-09-21,N,밥,쇠고기샤브국,꽁치구이,820.0
2017-09-22,N,밥,콩가루배추국,순살양념치킨,735.0
2017-09-25,N,밥,근대국,짬뽕불고기,1099.0
2017-09-26,N,밥,시래기들깨탕,닭갈비,902.0
2017-09-27,N,밥,콩나물국,삼겹살구이,1023.0
2017-09-28,N,밥,차돌박이찌개,매운주꾸미볶음,589.0
2017-09-29,N,밥,미역국,쇠불고기/잡채,760.0
2017-10-10,N,밥,아욱국,훈제오리구이,1265.0
2017-10-11,N,밥,고추장찌개,레몬탕수육,1109.0
2017-10-12,N,밥,해물된장찌개,닭찜,989.0
2017-10-13,N,밥,쇠고기무국,오징어볶음*소면,1015.0
2017-10-16,N,밥,차돌박이찌개,제육볶음,1173.0
2017-10-17,N,밥,근대국,고등어조림,848.0
2017-10-18,N,밥,민물새우찌개,수제돈가스,814.0
2017-10-19,N,밥,새알미역국,유린기,901.0
2017-10-20,N,밥,쇠고기매운버섯국,해물청경채볶음,533.0
2017-10-23,N,밥,콩나물국,버섯불고기,1115.0
2017-10-24,N,밥,배추된장국,쭈꾸미볶음,1037.0
2017-10-25,N,곤드레밥*강된장,가쯔오장국,갈치조림,786.0
2017-10-26,N,밥,육개장,치킨핑거,824.0
2017-10-27,N,밥,시금치국,돼지갈비찜,567.0
2017-10-30,N,밥,들깨시래기국,닭갈비,1150.0
2017-10-31,N,밥,근대국,돈삼겹보쌈,955.0
2017-11-01,N,카레덮밥,맑은국,개성감자만두,815.0
2017-11-02,N,밥,사골떡국,오징어볶음,854.0
2017-11-03,N,밥,된장찌개,누룽지탕수육,644.0
2017-11-06,N,밥,콩가루배추국,짬뽕불고기,1167.0
2017-11-07,N,밥,오징어국,수제돈까스,943.0
2017-11-08,N,콩나물밥,미역장국,언양식불고기,780.0
2017-11-09,N,밥,해물된장찌개,매운닭찜,797.0
2017-11-10,N,밥,올갱이아욱국,등갈비김치찜,630.0
